Model,Metric,Query,Expected Video,Retrieved Rank
MiniLM,cosine,How to learn English with movie scenes,jtGO8B6ONz4,148
MiniLM,cosine,How to understand fast native English speech,wppNtDrquVc,226
MiniLM,cosine,How to learn English with TV show dialogue,1fn8R_PNAY0,265
MiniLM,cosine,How to practice English listening with movies,wppNtDrquVc,223
MiniLM,cosine,How to learn real English expressions from movies,wppNtDrquVc,189
MiniLM,cosine,How to understand jokes in English TV shows,UUj4dwbCnGE,299
MiniLM,cosine,Real English expressions used by native speakers,CKTPXv9XCeA,127
MiniLM,cosine,Common phrases used in American TV series,znO5Jjf4D78,317
MiniLM,cosine,English slang used in movie dialogues,iuQsu4HOlrA,181
MiniLM,cosine,Daily English expressions used by natives,wppNtDrquVc,148
MiniLM,cosine,Natural English pronunciation in movies,1fn8R_PNAY0,248
MiniLM,cosine,Connected speech examples in movie dialogue,2sgxlayFzko,251
MiniLM,cosine,Reduced speech in native English conversation,CKTPXv9XCeA,122
MiniLM,cosine,Shadowing technique with TV series dialogue,JteHl9PQEIU,2
MiniLM,cosine,English listening practice with TV show scenes,Md41MGtwjfo,296
MiniLM,cosine,English pronunciation practice with movie dialogue,1fn8R_PNAY0,257
MiniLM,cosine,Best TV series to learn English fast,wppNtDrquVc,249
MiniLM,cosine,Best movies to learn English listening,wppNtDrquVc,287
MiniLM,cosine,How to train your ear with English movies,wppNtDrquVc,232
MiniLM,cosine,How to improve speaking using TV shows,UUj4dwbCnGE,137
MiniLM,cosine,How to learn vocabulary from movie scenes,jtGO8B6ONz4,176
MiniLM,cosine,How to sound like a native English speaker,CKTPXv9XCeA,120
MiniLM,cosine,English conversation practice with movie clips,1fn8R_PNAY0,225
MiniLM,cosine,Advanced English listening with TV series,wppNtDrquVc,234
MiniLM,cosine,Real life English conversation from movies,wppNtDrquVc,196
MiniLM,cosine,English fluency practice with TV series scenes,jtGO8B6ONz4,195
MiniLM,dot,Learn English with The Devil Wears Prada scene,UqobITwaxjk,227
MiniLM,dot,Learn English with SpongeBob SquarePants dialogue,NDhPifXoBYI,2
MiniLM,dot,Learn English with The Simpsons episode conversation,NDhPifXoBYI,140
MiniLM,dot,Learn English with Peaky Blinders speaking style,uW-I9SFuU1A,1
MiniLM,dot,Learn English with Jennifer Aniston interview,5fBrINGT0Dg,3
MiniLM,dot,Learn English with Zootopia movie dialogue,pOWZp3X_1aU,75
MiniLM,dot,Learn English with The Lion King movie scene,2sgxlayFzko,64
MiniLM,dot,Learn English with Pirates of the Caribbean dialogue,QMxTi2D66pY,199
MiniLM,dot,Learn English with Beauty and the Beast conversation,pXCLgLs-ZdQ,193
MiniLM,dot,Learn English with Frozen movie scene,uuIZZc_CeFM,271
MiniLM,dot,Learn English with Toy Story movie dialogue,DB3-s5oJFo8,42
MiniLM,dot,Learn English with Finding Nemo conversation,4JP1nPLVy2Q,151
MiniLM,dot,Learn English with Aladdin movie dialogue,fvVY1XDKhZk,155
MiniLM,dot,Learn English with Maleficent movie scene,9GpGky10yOE,251
MiniLM,dot,Learn English with Ice Age movie conversation,wppNtDrquVc,207
MiniLM,dot,Learn English with Monsters Inc movie dialogue,xIS2JcvekeQ,286
MiniLM,dot,Learn English with Shrek movie expressions,Ejb9b0veUPA,168
MiniLM,dot,Learn English with Disney movie conversations,aU58RGC4IKw,51
MiniLM,dot,Learn English with How I Met Your Mother dialogue,jtGO8B6ONz4,210
MiniLM,dot,Learn English with Friends TV series conversation,2sgxlayFzko,165
MiniLM,dot,Learn English with rap songs pronunciation,8BfL3wzzyoc,52
MiniLM,dot,Learn English with Eminem lyrics pronunciation,HBVX1D1SerE,2
MiniLM,dot,Learn English with Queen song vocabulary,cpp22-kDtp0,7
MiniLM,dot,Learn English with Ariana Grande song dialogue,PsPB_mnGK8s,3
MiniLM,dot,Learn English with Taylor Swift song expressions,WQeLu4i3p7Q,15
MiniLM,dot,Learn English with Billie Eilish song pronunciation,fwrD70WeSzs,4
MiniLM,dot,Learn English with Michael Jackson song lyrics,CKTPXv9XCeA,102
MiniLM,dot,Learn English with Jonas Brothers song dialogue,o_HnKujOOOY,239
MiniLM,dot,Learn English with Lady Gaga song vocabulary,fwrD70WeSzs,149
MiniLM,dot,Learn English with Bob Marley song expressions,1fn8R_PNAY0,48
MiniLM,dot,Understand fast English without subtitles,wppNtDrquVc,226
MiniLM,dot,How to understand movies without subtitles,wppNtDrquVc,222
MiniLM,dot,How to learn English with Netflix shows,UqobITwaxjk,220
MiniLM,dot,How to improve English listening with TV series,wppNtDrquVc,234
MiniLM,dot,How to learn English with movie scenes,jtGO8B6ONz4,148
MiniLM,dot,How to understand fast native English speech,wppNtDrquVc,226
MiniLM,dot,How to learn English with TV show dialogue,1fn8R_PNAY0,265
MiniLM,dot,How to practice English listening with movies,wppNtDrquVc,223
MiniLM,dot,How to learn real English expressions from movies,wppNtDrquVc,189
MiniLM,dot,How to understand jokes in English TV shows,UUj4dwbCnGE,299
MiniLM,dot,Real English expressions used by native speakers,CKTPXv9XCeA,127
MiniLM,dot,Common phrases used in American TV series,znO5Jjf4D78,317
MiniLM,dot,English slang used in movie dialogues,iuQsu4HOlrA,181
MiniLM,dot,Daily English expressions used by natives,wppNtDrquVc,148
MiniLM,dot,Natural English pronunciation in movies,1fn8R_PNAY0,248
MiniLM,dot,Connected speech examples in movie dialogue,2sgxlayFzko,251
MiniLM,dot,Reduced speech in native English conversation,CKTPXv9XCeA,122
MiniLM,dot,Shadowing technique with TV series dialogue,JteHl9PQEIU,2
MiniLM,dot,English listening practice with TV show scenes,Md41MGtwjfo,296
MiniLM,dot,English pronunciation practice with movie dialogue,1fn8R_PNAY0,257
MiniLM,dot,Best TV series to learn English fast,wppNtDrquVc,249
MiniLM,dot,Best movies to learn English listening,wppNtDrquVc,287
MiniLM,dot,How to train your ear with English movies,wppNtDrquVc,232
MiniLM,dot,How to improve speaking using TV shows,UUj4dwbCnGE,137
MiniLM,dot,How to learn vocabulary from movie scenes,jtGO8B6ONz4,176
MiniLM,dot,How to sound like a native English speaker,CKTPXv9XCeA,120
MiniLM,dot,English conversation practice with movie clips,1fn8R_PNAY0,225
MiniLM,dot,Advanced English listening with TV series,wppNtDrquVc,234
MiniLM,dot,Real life English conversation from movies,wppNtDrquVc,196
MiniLM,dot,English fluency practice with TV series scenes,jtGO8B6ONz4,195
MiniLM,euclidean,Learn English with The Devil Wears Prada scene,UqobITwaxjk,227
MiniLM,euclidean,Learn English with SpongeBob SquarePants dialogue,NDhPifXoBYI,2
MiniLM,euclidean,Learn English with The Simpsons episode conversation,NDhPifXoBYI,140
MiniLM,euclidean,Learn English with Peaky Blinders speaking style,uW-I9SFuU1A,1
MiniLM,euclidean,Learn English with Jennifer Aniston interview,5fBrINGT0Dg,3
MiniLM,euclidean,Learn English with Zootopia movie dialogue,pOWZp3X_1aU,75
MiniLM,euclidean,Learn English with The Lion King movie scene,2sgxlayFzko,64
MiniLM,euclidean,Learn English with Pirates of the Caribbean dialogue,QMxTi2D66pY,199
MiniLM,euclidean,Learn English with Beauty and the Beast conversation,pXCLgLs-ZdQ,193
MiniLM,euclidean,Learn English with Frozen movie scene,uuIZZc_CeFM,271
MiniLM,euclidean,Learn English with Toy Story movie dialogue,DB3-s5oJFo8,42
MiniLM,euclidean,Learn English with Finding Nemo conversation,4JP1nPLVy2Q,151
MiniLM,euclidean,Learn English with Aladdin movie dialogue,fvVY1XDKhZk,155
MiniLM,euclidean,Learn English with Maleficent movie scene,9GpGky10yOE,251
MiniLM,euclidean,Learn English with Ice Age movie conversation,wppNtDrquVc,207
MiniLM,euclidean,Learn English with Monsters Inc movie dialogue,xIS2JcvekeQ,286
MiniLM,euclidean,Learn English with Shrek movie expressions,Ejb9b0veUPA,168
MiniLM,euclidean,Learn English with Disney movie conversations,aU58RGC4IKw,51
MiniLM,euclidean,Learn English with How I Met Your Mother dialogue,jtGO8B6ONz4,210
MiniLM,euclidean,Learn English with Friends TV series conversation,2sgxlayFzko,165
MiniLM,euclidean,Learn English with rap songs pronunciation,8BfL3wzzyoc,52
MiniLM,euclidean,Learn English with Eminem lyrics pronunciation,HBVX1D1SerE,2
MiniLM,euclidean,Learn English with Queen song vocabulary,cpp22-kDtp0,7
MiniLM,euclidean,Learn English with Ariana Grande song dialogue,PsPB_mnGK8s,3
MiniLM,euclidean,Learn English with Taylor Swift song expressions,WQeLu4i3p7Q,15
MiniLM,euclidean,Learn English with Billie Eilish song pronunciation,fwrD70WeSzs,4
MiniLM,euclidean,Learn English with Michael Jackson song lyrics,CKTPXv9XCeA,102
MiniLM,euclidean,Learn English with Jonas Brothers song dialogue,o_HnKujOOOY,239
MiniLM,euclidean,Learn English with Lady Gaga song vocabulary,fwrD70WeSzs,149
MiniLM,euclidean,Learn English with Bob Marley song expressions,1fn8R_PNAY0,48
MiniLM,euclidean,Understand fast English without subtitles,wppNtDrquVc,226
MiniLM,euclidean,How to understand movies without subtitles,wppNtDrquVc,222
MiniLM,euclidean,How to learn English with Netflix shows,UqobITwaxjk,220
MiniLM,euclidean,How to improve English listening with TV series,wppNtDrquVc,234
MiniLM,euclidean,How to learn English with movie scenes,jtGO8B6ONz4,148
MiniLM,euclidean,How to understand fast native English speech,wppNtDrquVc,226
MiniLM,euclidean,How to learn English with TV show dialogue,1fn8R_PNAY0,265
MiniLM,euclidean,How to practice English listening with movies,wppNtDrquVc,223
MiniLM,euclidean,How to learn real English expressions from movies,wppNtDrquVc,189
MiniLM,euclidean,How to understand jokes in English TV shows,UUj4dwbCnGE,299
MiniLM,euclidean,Real English expressions used by native speakers,CKTPXv9XCeA,127
MiniLM,euclidean,Common phrases used in American TV series,znO5Jjf4D78,317
MiniLM,euclidean,English slang used in movie dialogues,iuQsu4HOlrA,181
MiniLM,euclidean,Daily English expressions used by natives,wppNtDrquVc,148
MiniLM,euclidean,Natural English pronunciation in movies,1fn8R_PNAY0,248
MiniLM,euclidean,Connected speech examples in movie dialogue,2sgxlayFzko,251
MiniLM,euclidean,Reduced speech in native English conversation,CKTPXv9XCeA,122
MiniLM,euclidean,Shadowing technique with TV series dialogue,JteHl9PQEIU,2
MiniLM,euclidean,English listening practice with TV show scenes,Md41MGtwjfo,296
MiniLM,euclidean,English pronunciation practice with movie dialogue,1fn8R_PNAY0,257
MiniLM,euclidean,Best TV series to learn English fast,wppNtDrquVc,249
MiniLM,euclidean,Best movies to learn English listening,wppNtDrquVc,287
MiniLM,euclidean,How to train your ear with English movies,wppNtDrquVc,232
MiniLM,euclidean,How to improve speaking using TV shows,UUj4dwbCnGE,137
MiniLM,euclidean,How to learn vocabulary from movie scenes,jtGO8B6ONz4,176
MiniLM,euclidean,How to sound like a native English speaker,CKTPXv9XCeA,120
MiniLM,euclidean,English conversation practice with movie clips,1fn8R_PNAY0,225
MiniLM,euclidean,Advanced English listening with TV series,wppNtDrquVc,234
MiniLM,euclidean,Real life English conversation from movies,wppNtDrquVc,196
MiniLM,euclidean,English fluency practice with TV series scenes,jtGO8B6ONz4,195
MiniLM,cityblock,Learn English with The Devil Wears Prada scene,UqobITwaxjk,229
MiniLM,cityblock,Learn English with SpongeBob SquarePants dialogue,NDhPifXoBYI,2
MiniLM,cityblock,Learn English with The Simpsons episode conversation,NDhPifXoBYI,127
MiniLM,cityblock,Learn English with Peaky Blinders speaking style,uW-I9SFuU1A,1
MiniLM,cityblock,Learn English with Jennifer Aniston interview,5fBrINGT0Dg,3
MiniLM,cityblock,Learn English with Zootopia movie dialogue,pOWZp3X_1aU,61
MiniLM,cityblock,Learn English with The Lion King movie scene,2sgxlayFzko,87
MiniLM,cityblock,Learn English with Pirates of the Caribbean dialogue,QMxTi2D66pY,218
MiniLM,cityblock,Learn English with Beauty and the Beast conversation,pXCLgLs-ZdQ,201
MiniLM,cityblock,Learn English with Frozen movie scene,uuIZZc_CeFM,274
MiniLM,cityblock,Learn English with Toy Story movie dialogue,DB3-s5oJFo8,38
MiniLM,cityblock,Learn English with Finding Nemo conversation,4JP1nPLVy2Q,166
MiniLM,cityblock,Learn English with Aladdin movie dialogue,fvVY1XDKhZk,169
MiniLM,cityblock,Learn English with Maleficent movie scene,9GpGky10yOE,242
MiniLM,cityblock,Learn English with Ice Age movie conversation,wppNtDrquVc,184
MiniLM,cityblock,Learn English with Monsters Inc movie dialogue,xIS2JcvekeQ,302
MiniLM,cityblock,Learn English with Shrek movie expressions,Ejb9b0veUPA,165
MiniLM,cityblock,Learn English with Disney movie conversations,aU58RGC4IKw,59
MiniLM,cityblock,Learn English with How I Met Your Mother dialogue,jtGO8B6ONz4,238
MiniLM,cityblock,Learn English with Friends TV series conversation,2sgxlayFzko,168
MiniLM,cityblock,Learn English with rap songs pronunciation,8BfL3wzzyoc,37
MiniLM,cityblock,Learn English with Eminem lyrics pronunciation,HBVX1D1SerE,2
MiniLM,cityblock,Learn English with Queen song vocabulary,cpp22-kDtp0,14
MiniLM,cityblock,Learn English with Ariana Grande song dialogue,PsPB_mnGK8s,3
MiniLM,cityblock,Learn English with Taylor Swift song expressions,WQeLu4i3p7Q,15
MiniLM,cityblock,Learn English with Billie Eilish song pronunciation,fwrD70WeSzs,4
MiniLM,cityblock,Learn English with Michael Jackson song lyrics,CKTPXv9XCeA,110
MiniLM,cityblock,Learn English with Jonas Brothers song dialogue,o_HnKujOOOY,215
MiniLM,cityblock,Learn English with Lady Gaga song vocabulary,fwrD70WeSzs,181
MiniLM,cityblock,Learn English with Bob Marley song expressions,1fn8R_PNAY0,45
MiniLM,cityblock,Understand fast English without subtitles,wppNtDrquVc,220
MiniLM,cityblock,How to understand movies without subtitles,wppNtDrquVc,220
MiniLM,cityblock,How to learn English with Netflix shows,UqobITwaxjk,222
MiniLM,cityblock,How to improve English listening with TV series,wppNtDrquVc,217
MiniLM,cityblock,How to learn English with movie scenes,jtGO8B6ONz4,151
MiniLM,cityblock,How to understand fast native English speech,wppNtDrquVc,225
MiniLM,cityblock,How to learn English with TV show dialogue,1fn8R_PNAY0,258
MiniLM,cityblock,How to practice English listening with movies,wppNtDrquVc,230
MiniLM,cityblock,How to learn real English expressions from movies,wppNtDrquVc,227
MiniLM,cityblock,How to understand jokes in English TV shows,UUj4dwbCnGE,278
MiniLM,cityblock,Real English expressions used by native speakers,CKTPXv9XCeA,89
MiniLM,cityblock,Common phrases used in American TV series,znO5Jjf4D78,336
MiniLM,cityblock,English slang used in movie dialogues,iuQsu4HOlrA,190
MiniLM,cityblock,Daily English expressions used by natives,wppNtDrquVc,159
MiniLM,cityblock,Natural English pronunciation in movies,1fn8R_PNAY0,270
MiniLM,cityblock,Connected speech examples in movie dialogue,2sgxlayFzko,230
MiniLM,cityblock,Reduced speech in native English conversation,CKTPXv9XCeA,104
MiniLM,cityblock,Shadowing technique with TV series dialogue,JteHl9PQEIU,7
MiniLM,cityblock,English listening practice with TV show scenes,Md41MGtwjfo,299
MiniLM,cityblock,English pronunciation practice with movie dialogue,1fn8R_PNAY0,255
MiniLM,cityblock,Best TV series to learn English fast,wppNtDrquVc,211
MiniLM,cityblock,Best movies to learn English listening,wppNtDrquVc,274
MiniLM,cityblock,How to train your ear with English movies,wppNtDrquVc,259
MiniLM,cityblock,How to improve speaking using TV shows,UUj4dwbCnGE,138
MiniLM,cityblock,How to learn vocabulary from movie scenes,jtGO8B6ONz4,169
MiniLM,cityblock,How to sound like a native English speaker,CKTPXv9XCeA,124
MiniLM,cityblock,English conversation practice with movie clips,1fn8R_PNAY0,235
MiniLM,cityblock,Advanced English listening with TV series,wppNtDrquVc,231
MiniLM,cityblock,Real life English conversation from movies,wppNtDrquVc,183
MiniLM,cityblock,English fluency practice with TV series scenes,jtGO8B6ONz4,181
MiniLM,chebyshev,Learn English with The Devil Wears Prada scene,UqobITwaxjk,231
MiniLM,chebyshev,Learn English with SpongeBob SquarePants dialogue,NDhPifXoBYI,2
MiniLM,chebyshev,Learn English with The Simpsons episode conversation,NDhPifXoBYI,202
MiniLM,chebyshev,Learn English with Peaky Blinders speaking style,uW-I9SFuU1A,1
MiniLM,chebyshev,Learn English with Jennifer Aniston interview,5fBrINGT0Dg,14
MiniLM,chebyshev,Learn English with Zootopia movie dialogue,pOWZp3X_1aU,115
MiniLM,chebyshev,Learn English with The Lion King movie scene,2sgxlayFzko,45
MiniLM,chebyshev,Learn English with Pirates of the Caribbean dialogue,QMxTi2D66pY,255
MiniLM,chebyshev,Learn English with Beauty and the Beast conversation,pXCLgLs-ZdQ,88
MiniLM,chebyshev,Learn English with Frozen movie scene,uuIZZc_CeFM,210
MiniLM,chebyshev,Learn English with Toy Story movie dialogue,DB3-s5oJFo8,103
MiniLM,chebyshev,Learn English with Finding Nemo conversation,4JP1nPLVy2Q,270
MiniLM,chebyshev,Learn English with Aladdin movie dialogue,fvVY1XDKhZk,57
MiniLM,chebyshev,Learn English with Maleficent movie scene,9GpGky10yOE,236
MiniLM,chebyshev,Learn English with Ice Age movie conversation,wppNtDrquVc,76
MiniLM,chebyshev,Learn English with Monsters Inc movie dialogue,xIS2JcvekeQ,162
MiniLM,chebyshev,Learn English with Shrek movie expressions,Ejb9b0veUPA,117
MiniLM,chebyshev,Learn English with Disney movie conversations,aU58RGC4IKw,26
MiniLM,chebyshev,Learn English with How I Met Your Mother dialogue,jtGO8B6ONz4,154
MiniLM,chebyshev,Learn English with Friends TV series conversation,2sgxlayFzko,167
MiniLM,chebyshev,Learn English with rap songs pronunciation,8BfL3wzzyoc,153
MiniLM,chebyshev,Learn English with Eminem lyrics pronunciation,HBVX1D1SerE,1
MiniLM,chebyshev,Learn English with Queen song vocabulary,cpp22-kDtp0,1
MiniLM,chebyshev,Learn English with Ariana Grande song dialogue,PsPB_mnGK8s,3
MiniLM,chebyshev,Learn English with Taylor Swift song expressions,WQeLu4i3p7Q,23
MiniLM,chebyshev,Learn English with Billie Eilish song pronunciation,fwrD70WeSzs,72
MiniLM,chebyshev,Learn English with Michael Jackson song lyrics,CKTPXv9XCeA,214
MiniLM,chebyshev,Learn English with Jonas Brothers song dialogue,o_HnKujOOOY,347
MiniLM,chebyshev,Learn English with Lady Gaga song vocabulary,fwrD70WeSzs,86
MiniLM,chebyshev,Learn English with Bob Marley song expressions,1fn8R_PNAY0,56
MiniLM,chebyshev,Understand fast English without subtitles,wppNtDrquVc,282
MiniLM,chebyshev,How to understand movies without subtitles,wppNtDrquVc,278
MiniLM,chebyshev,How to learn English with Netflix shows,UqobITwaxjk,121
MiniLM,chebyshev,How to improve English listening with TV series,wppNtDrquVc,200
MiniLM,chebyshev,How to learn English with movie scenes,jtGO8B6ONz4,166
MiniLM,chebyshev,How to understand fast native English speech,wppNtDrquVc,256
MiniLM,chebyshev,How to learn English with TV show dialogue,1fn8R_PNAY0,164
MiniLM,chebyshev,How to practice English listening with movies,wppNtDrquVc,50
MiniLM,chebyshev,How to learn real English expressions from movies,wppNtDrquVc,168
MiniLM,chebyshev,How to understand jokes in English TV shows,UUj4dwbCnGE,249
MiniLM,chebyshev,Real English expressions used by native speakers,CKTPXv9XCeA,61
MiniLM,chebyshev,Common phrases used in American TV series,znO5Jjf4D78,299
MiniLM,chebyshev,English slang used in movie dialogues,iuQsu4HOlrA,186
MiniLM,chebyshev,Daily English expressions used by natives,wppNtDrquVc,26
MiniLM,chebyshev,Natural English pronunciation in movies,1fn8R_PNAY0,289
MiniLM,chebyshev,Connected speech examples in movie dialogue,2sgxlayFzko,312
MiniLM,chebyshev,Reduced speech in native English conversation,CKTPXv9XCeA,81
MiniLM,chebyshev,Shadowing technique with TV series dialogue,JteHl9PQEIU,1
MiniLM,chebyshev,English listening practice with TV show scenes,Md41MGtwjfo,230
MiniLM,chebyshev,English pronunciation practice with movie dialogue,1fn8R_PNAY0,251
MiniLM,chebyshev,Best TV series to learn English fast,wppNtDrquVc,256
MiniLM,chebyshev,Best movies to learn English listening,wppNtDrquVc,248
MiniLM,chebyshev,How to train your ear with English movies,wppNtDrquVc,107
MiniLM,chebyshev,How to improve speaking using TV shows,UUj4dwbCnGE,241
MiniLM,chebyshev,How to learn vocabulary from movie scenes,jtGO8B6ONz4,130
MiniLM,chebyshev,How to sound like a native English speaker,CKTPXv9XCeA,190
MiniLM,chebyshev,English conversation practice with movie clips,1fn8R_PNAY0,50
MiniLM,chebyshev,Advanced English listening with TV series,wppNtDrquVc,285
MiniLM,chebyshev,Real life English conversation from movies,wppNtDrquVc,125
MiniLM,chebyshev,English fluency practice with TV series scenes,jtGO8B6ONz4,176
MPNet,cosine,Learn English with The Devil Wears Prada scene,UqobITwaxjk,147
MPNet,cosine,Learn English with SpongeBob SquarePants dialogue,NDhPifXoBYI,2
MPNet,cosine,Learn English with The Simpsons episode conversation,NDhPifXoBYI,20
MPNet,cosine,Learn English with Peaky Blinders speaking style,uW-I9SFuU1A,5
MPNet,cosine,Learn English with Jennifer Aniston interview,5fBrINGT0Dg,3
MPNet,cosine,Learn English with Zootopia movie dialogue,pOWZp3X_1aU,85
MPNet,cosine,Learn English with The Lion King movie scene,2sgxlayFzko,144
MPNet,cosine,Learn English with Pirates of the Caribbean dialogue,QMxTi2D66pY,7
MPNet,cosine,Learn English with Beauty and the Beast conversation,pXCLgLs-ZdQ,234
MPNet,cosine,Learn English with Frozen movie scene,uuIZZc_CeFM,136
MPNet,cosine,Learn English with Toy Story movie dialogue,DB3-s5oJFo8,324
MPNet,cosine,Learn English with Finding Nemo conversation,4JP1nPLVy2Q,7
MPNet,cosine,Learn English with Aladdin movie dialogue,fvVY1XDKhZk,136
MPNet,cosine,Learn English with Maleficent movie scene,9GpGky10yOE,5
MPNet,cosine,Learn English with Ice Age movie conversation,wppNtDrquVc,35
MPNet,cosine,Learn English with Monsters Inc movie dialogue,xIS2JcvekeQ,158
MPNet,cosine,Learn English with Shrek movie expressions,Ejb9b0veUPA,39
MPNet,cosine,Learn English with Disney movie conversations,aU58RGC4IKw,38
MPNet,cosine,Learn English with How I Met Your Mother dialogue,jtGO8B6ONz4,220
MPNet,cosine,Learn English with Friends TV series conversation,2sgxlayFzko,170
MPNet,cosine,Learn English with rap songs pronunciation,8BfL3wzzyoc,7
MPNet,cosine,Learn English with Eminem lyrics pronunciation,HBVX1D1SerE,5
MPNet,cosine,Learn English with Queen song vocabulary,cpp22-kDtp0,11
MPNet,cosine,Learn English with Ariana Grande song dialogue,PsPB_mnGK8s,37
MPNet,cosine,Learn English with Taylor Swift song expressions,WQeLu4i3p7Q,227
MPNet,cosine,Learn English with Billie Eilish song pronunciation,fwrD70WeSzs,35
MPNet,cosine,Learn English with Michael Jackson song lyrics,CKTPXv9XCeA,296
MPNet,cosine,Learn English with Jonas Brothers song dialogue,o_HnKujOOOY,245
MPNet,cosine,Learn English with Lady Gaga song vocabulary,fwrD70WeSzs,20
MPNet,cosine,Learn English with Bob Marley song expressions,1fn8R_PNAY0,184
MPNet,cosine,Understand fast English without subtitles,wppNtDrquVc,112
MPNet,cosine,How to understand movies without subtitles,wppNtDrquVc,82
MPNet,cosine,How to learn English with Netflix shows,UqobITwaxjk,153
MPNet,cosine,How to improve English listening with TV series,wppNtDrquVc,120
MPNet,cosine,How to learn English with movie scenes,jtGO8B6ONz4,258
MPNet,cosine,How to understand fast native English speech,wppNtDrquVc,95
MPNet,cosine,How to learn English with TV show dialogue,1fn8R_PNAY0,301
MPNet,cosine,How to practice English listening with movies,wppNtDrquVc,91
MPNet,cosine,How to learn real English expressions from movies,wppNtDrquVc,29
MPNet,cosine,How to understand jokes in English TV shows,UUj4dwbCnGE,89
MPNet,cosine,Real English expressions used by native speakers,CKTPXv9XCeA,83
MPNet,cosine,Common phrases used in American TV series,znO5Jjf4D78,168
MPNet,cosine,English slang used in movie dialogues,iuQsu4HOlrA,145
MPNet,cosine,Daily English expressions used by natives,wppNtDrquVc,34
MPNet,cosine,Natural English pronunciation in movies,1fn8R_PNAY0,296
MPNet,cosine,Connected speech examples in movie dialogue,2sgxlayFzko,186
MPNet,cosine,Reduced speech in native English conversation,CKTPXv9XCeA,139
MPNet,cosine,Shadowing technique with TV series dialogue,JteHl9PQEIU,82
MPNet,cosine,English listening practice with TV show scenes,Md41MGtwjfo,206
MPNet,cosine,English pronunciation practice with movie dialogue,1fn8R_PNAY0,289
MPNet,cosine,Best TV series to learn English fast,wppNtDrquVc,153
MPNet,cosine,Best movies to learn English listening,wppNtDrquVc,83
MPNet,cosine,How to train your ear with English movies,wppNtDrquVc,97
MPNet,cosine,How to improve speaking using TV shows,UUj4dwbCnGE,72
MPNet,cosine,How to learn vocabulary from movie scenes,jtGO8B6ONz4,236
MPNet,cosine,How to sound like a native English speaker,CKTPXv9XCeA,205
MPNet,cosine,English conversation practice with movie clips,1fn8R_PNAY0,317
MPNet,cosine,Advanced English listening with TV series,wppNtDrquVc,115
MPNet,cosine,Real life English conversation from movies,wppNtDrquVc,17
MPNet,cosine,English fluency practice with TV series scenes,jtGO8B6ONz4,285
MPNet,dot,Learn English with The Devil Wears Prada scene,UqobITwaxjk,147
MPNet,dot,Learn English with SpongeBob SquarePants dialogue,NDhPifXoBYI,2
