Model,Metric,Query,Rank,Video,Score
MiniLM,cosine,Learn English with rap songs pronunciation,4,ys0SYYPLVOg,0.6088
MiniLM,cosine,Learn English with rap songs pronunciation,5,lz_gewAzBm8,0.579
MiniLM,cosine,Learn English with Eminem lyrics pronunciation,1,soZc03vH_qQ,0.6763
MiniLM,cosine,Learn English with Eminem lyrics pronunciation,2,HBVX1D1SerE,0.6346
MiniLM,cosine,Learn English with Eminem lyrics pronunciation,3,gj9SQk-rlkQ,0.6105
MiniLM,cosine,Learn English with Eminem lyrics pronunciation,4,CflETAu1f4I,0.5909
MiniLM,cosine,Learn English with Eminem lyrics pronunciation,5,u53Seni_i8U,0.5201
MiniLM,cosine,Learn English with Queen song vocabulary,1,ys0SYYPLVOg,0.6317
MiniLM,cosine,Learn English with Queen song vocabulary,2,A_zhjxLLA08,0.6238
MiniLM,cosine,Learn English with Queen song vocabulary,3,E7mbFm3NAp0,0.6221
MiniLM,cosine,Learn English with Queen song vocabulary,4,VAAOTyfO-Oo,0.594
MiniLM,cosine,Learn English with Queen song vocabulary,5,xpt3bJEjc-A,0.5935
MiniLM,cosine,Learn English with Ariana Grande song dialogue,1,CYkM3zOmjUE,0.72
MiniLM,cosine,Learn English with Ariana Grande song dialogue,2,VAAOTyfO-Oo,0.6873
MiniLM,cosine,Learn English with Ariana Grande song dialogue,3,PsPB_mnGK8s,0.6345
MiniLM,cosine,Learn English with Ariana Grande song dialogue,4,ys0SYYPLVOg,0.6266
MiniLM,cosine,Learn English with Ariana Grande song dialogue,5,lz_gewAzBm8,0.6234
MiniLM,cosine,Learn English with Taylor Swift song expressions,1,bUpTiOgMJu4,0.6996
MiniLM,cosine,Learn English with Taylor Swift song expressions,2,sn4eOnRyJVg,0.6411
MiniLM,cosine,Learn English with Taylor Swift song expressions,3,lz_gewAzBm8,0.6187
MiniLM,cosine,Learn English with Taylor Swift song expressions,4,BrWkotDAvfg,0.613
MiniLM,cosine,Learn English with Taylor Swift song expressions,5,ys0SYYPLVOg,0.5803
MiniLM,cosine,Learn English with Billie Eilish song pronunciation,1,2EhiOgkklY0,0.6759
MiniLM,cosine,Learn English with Billie Eilish song pronunciation,2,VAAOTyfO-Oo,0.506
MiniLM,cosine,Learn English with Billie Eilish song pronunciation,3,ys0SYYPLVOg,0.487
MiniLM,cosine,Learn English with Billie Eilish song pronunciation,4,fwrD70WeSzs,0.4864
MiniLM,cosine,Learn English with Billie Eilish song pronunciation,5,lz_gewAzBm8,0.4837
MiniLM,cosine,Learn English with Michael Jackson song lyrics,1,soZc03vH_qQ,0.4896
MiniLM,cosine,Learn English with Michael Jackson song lyrics,2,fwrD70WeSzs,0.4788
MiniLM,cosine,Learn English with Michael Jackson song lyrics,3,u53Seni_i8U,0.4694
MiniLM,cosine,Learn English with Michael Jackson song lyrics,4,2EhiOgkklY0,0.456
MiniLM,cosine,Learn English with Michael Jackson song lyrics,5,lz_gewAzBm8,0.4456
MiniLM,cosine,Learn English with Jonas Brothers song dialogue,1,u53Seni_i8U,0.568
MiniLM,cosine,Learn English with Jonas Brothers song dialogue,2,fwrD70WeSzs,0.5435
MiniLM,cosine,Learn English with Jonas Brothers song dialogue,3,lEuqXNfn90Y,0.5357
MiniLM,cosine,Learn English with Jonas Brothers song dialogue,4,g82BjCFBH-8,0.5321
MiniLM,cosine,Learn English with Jonas Brothers song dialogue,5,wrFIrqeWGcU,0.5292
MiniLM,cosine,Learn English with Lady Gaga song vocabulary,1,VAAOTyfO-Oo,0.7433
MiniLM,cosine,Learn English with Lady Gaga song vocabulary,2,A_zhjxLLA08,0.662
MiniLM,cosine,Learn English with Lady Gaga song vocabulary,3,3GCmsMI5iAY,0.6617
MiniLM,cosine,Learn English with Lady Gaga song vocabulary,4,ys0SYYPLVOg,0.6208
MiniLM,cosine,Learn English with Lady Gaga song vocabulary,5,CYkM3zOmjUE,0.5843
MiniLM,cosine,Learn English with Bob Marley song expressions,1,Ejb9b0veUPA,0.4676
MiniLM,cosine,Learn English with Bob Marley song expressions,2,DiBxjkkGb5o,0.4676
MiniLM,cosine,Learn English with Bob Marley song expressions,3,soZc03vH_qQ,0.4623
MiniLM,cosine,Learn English with Bob Marley song expressions,4,19iestleXXc,0.4585
MiniLM,cosine,Learn English with Bob Marley song expressions,5,ys0SYYPLVOg,0.4411
MiniLM,cosine,Understand fast English without subtitles,1,lhugwz26kUc,0.717
MiniLM,cosine,Understand fast English without subtitles,2,tdn81jlykww,0.6193
MiniLM,cosine,Understand fast English without subtitles,3,s3p2EoAzhtE,0.6169
MiniLM,cosine,Understand fast English without subtitles,4,xV-GT84xzE8,0.6079
MiniLM,cosine,Understand fast English without subtitles,5,tCrpvHJ52T0,0.6038
MiniLM,cosine,How to understand movies without subtitles,1,lhugwz26kUc,0.664
MiniLM,cosine,How to understand movies without subtitles,2,s3p2EoAzhtE,0.6527
MiniLM,cosine,How to understand movies without subtitles,3,T-FXi4Buqps,0.6179
MiniLM,cosine,How to understand movies without subtitles,4,tdn81jlykww,0.5797
MiniLM,cosine,How to understand movies without subtitles,5,Xmgohhgb3pA,0.5749
MiniLM,cosine,How to learn English with Netflix shows,1,xsUEm_faz_w,0.7879
MiniLM,cosine,How to learn English with Netflix shows,2,fRseMUZ2NOM,0.7043
MiniLM,cosine,How to learn English with Netflix shows,3,RQuL3lsuarQ,0.6655
MiniLM,cosine,How to learn English with Netflix shows,4,7nPv7pAFkio,0.6521
MiniLM,cosine,How to learn English with Netflix shows,5,wdh9y2TkIns,0.647
MiniLM,cosine,How to improve English listening with TV series,1,VZJaXyjs9RI,0.6965
MiniLM,cosine,How to improve English listening with TV series,2,lhugwz26kUc,0.657
MiniLM,cosine,How to improve English listening with TV series,3,FZoeUNG_x4I,0.6551
MiniLM,cosine,How to improve English listening with TV series,4,RQuL3lsuarQ,0.6334
MiniLM,cosine,How to improve English listening with TV series,5,fRseMUZ2NOM,0.6215
MiniLM,cosine,How to learn English with movie scenes,1,pKoH9GkEKxQ,0.7416
MiniLM,cosine,How to learn English with movie scenes,2,tdn81jlykww,0.7251
MiniLM,cosine,How to learn English with movie scenes,3,Xmgohhgb3pA,0.7171
MiniLM,cosine,How to learn English with movie scenes,4,wdh9y2TkIns,0.7127
MiniLM,cosine,How to learn English with movie scenes,5,fRseMUZ2NOM,0.6856
MiniLM,cosine,How to understand fast native English speech,1,xV-GT84xzE8,0.6548
MiniLM,cosine,How to understand fast native English speech,2,F23Bm4FrwJI,0.6369
MiniLM,cosine,How to understand fast native English speech,3,tCrpvHJ52T0,0.6349
MiniLM,cosine,How to understand fast native English speech,4,KEWge76EHpA,0.6327
MiniLM,cosine,How to understand fast native English speech,5,LPA52CoT44w,0.6322
MiniLM,cosine,How to learn English with TV show dialogue,1,RQuL3lsuarQ,0.6984
MiniLM,cosine,How to learn English with TV show dialogue,2,FZoeUNG_x4I,0.6804
MiniLM,cosine,How to learn English with TV show dialogue,3,fRseMUZ2NOM,0.674
MiniLM,cosine,How to learn English with TV show dialogue,4,lhugwz26kUc,0.6549
MiniLM,cosine,How to learn English with TV show dialogue,5,2li3fhbUnXI,0.6446
MiniLM,cosine,How to practice English listening with movies,1,pKoH9GkEKxQ,0.6958
MiniLM,cosine,How to practice English listening with movies,2,ys0SYYPLVOg,0.6926
MiniLM,cosine,How to practice English listening with movies,3,fRseMUZ2NOM,0.6879
MiniLM,cosine,How to practice English listening with movies,4,VZJaXyjs9RI,0.6712
MiniLM,cosine,How to practice English listening with movies,5,lhugwz26kUc,0.667
MiniLM,cosine,How to learn real English expressions from movies,1,pKoH9GkEKxQ,0.7019
MiniLM,cosine,How to learn real English expressions from movies,2,Xmgohhgb3pA,0.6915
MiniLM,cosine,How to learn real English expressions from movies,3,3W2gRl5UIDY,0.6816
MiniLM,cosine,How to learn real English expressions from movies,4,_WTEzSLs3LU,0.6814
MiniLM,cosine,How to learn real English expressions from movies,5,tdn81jlykww,0.6785
MiniLM,cosine,How to understand jokes in English TV shows,1,apI6j_LQYAA,0.5677
MiniLM,cosine,How to understand jokes in English TV shows,2,RQuL3lsuarQ,0.5632
MiniLM,cosine,How to understand jokes in English TV shows,3,ufCndfbsfpw,0.5623
MiniLM,cosine,How to understand jokes in English TV shows,4,jslJbssyfUQ,0.5606
MiniLM,cosine,How to understand jokes in English TV shows,5,FZoeUNG_x4I,0.5495
MiniLM,cosine,Real English expressions used by native speakers,1,xV-GT84xzE8,0.494
MiniLM,cosine,Real English expressions used by native speakers,2,Q5wMunSQHK4,0.4868
MiniLM,cosine,Real English expressions used by native speakers,3,IjEax-B7lrg,0.4722
MiniLM,cosine,Real English expressions used by native speakers,4,FZXyYuiyq2I,0.4633
MiniLM,cosine,Real English expressions used by native speakers,5,g82BjCFBH-8,0.4618
MiniLM,cosine,Common phrases used in American TV series,1,a79pawTkIx8,0.4622
MiniLM,cosine,Common phrases used in American TV series,2,JteHl9PQEIU,0.4483
MiniLM,cosine,Common phrases used in American TV series,3,YONM8R2_iu8,0.4202
MiniLM,cosine,Common phrases used in American TV series,4,7Ck3q5GaF5M,0.4123
MiniLM,cosine,Common phrases used in American TV series,5,F9hBErKjL_Y,0.4067
MiniLM,cosine,English slang used in movie dialogues,1,jslJbssyfUQ,0.4415
MiniLM,cosine,English slang used in movie dialogues,2,Rs_wuc9J4Wo,0.4387
MiniLM,cosine,English slang used in movie dialogues,3,fpbdQBcuJ_E,0.4382
MiniLM,cosine,English slang used in movie dialogues,4,YONM8R2_iu8,0.4339
MiniLM,cosine,English slang used in movie dialogues,5,67E6Dl6LaW4,0.4241
MiniLM,cosine,Daily English expressions used by natives,1,Q5wMunSQHK4,0.4933
MiniLM,cosine,Daily English expressions used by natives,2,xV-GT84xzE8,0.4732
MiniLM,cosine,Daily English expressions used by natives,3,JDYksdXAOOU,0.4628
MiniLM,cosine,Daily English expressions used by natives,4,FZXyYuiyq2I,0.4621
MiniLM,cosine,Daily English expressions used by natives,5,a79pawTkIx8,0.4531
MiniLM,cosine,Natural English pronunciation in movies,1,Nb7KuhBVCH8,0.5514
MiniLM,cosine,Natural English pronunciation in movies,2,pKoH9GkEKxQ,0.5363
MiniLM,cosine,Natural English pronunciation in movies,3,67E6Dl6LaW4,0.526
MiniLM,cosine,Natural English pronunciation in movies,4,tdn81jlykww,0.5245
MiniLM,cosine,Natural English pronunciation in movies,5,fRseMUZ2NOM,0.5176
MiniLM,cosine,Connected speech examples in movie dialogue,1,Xmgohhgb3pA,0.4715
MiniLM,cosine,Connected speech examples in movie dialogue,2,wOx50owZLyA,0.4554
MiniLM,cosine,Connected speech examples in movie dialogue,3,67E6Dl6LaW4,0.4282
MiniLM,cosine,Connected speech examples in movie dialogue,4,xQI0Kqu7x4o,0.4219
MiniLM,cosine,Connected speech examples in movie dialogue,5,pKoH9GkEKxQ,0.4196
MiniLM,cosine,Reduced speech in native English conversation,1,xV-GT84xzE8,0.5084
MiniLM,cosine,Reduced speech in native English conversation,2,KEWge76EHpA,0.5072
MiniLM,cosine,Reduced speech in native English conversation,3,F23Bm4FrwJI,0.5057
MiniLM,cosine,Reduced speech in native English conversation,4,L5EW4uRl_ps,0.5019
MiniLM,cosine,Reduced speech in native English conversation,5,tCrpvHJ52T0,0.4882
MiniLM,cosine,Shadowing technique with TV series dialogue,1,mxG8Ls1SQz8,0.3745
MiniLM,cosine,Shadowing technique with TV series dialogue,2,JteHl9PQEIU,0.3491
MiniLM,cosine,Shadowing technique with TV series dialogue,3,K0ddpZQxOZs,0.3429
MiniLM,cosine,Shadowing technique with TV series dialogue,4,b8XK8K1jjrg,0.339
MiniLM,cosine,Shadowing technique with TV series dialogue,5,-kXpw-AcEoM,0.3373
MiniLM,cosine,English listening practice with TV show scenes,1,VZJaXyjs9RI,0.6263
MiniLM,cosine,English listening practice with TV show scenes,2,FZoeUNG_x4I,0.6086
MiniLM,cosine,English listening practice with TV show scenes,3,RQuL3lsuarQ,0.5942
MiniLM,cosine,English listening practice with TV show scenes,4,lhugwz26kUc,0.5831
MiniLM,cosine,English listening practice with TV show scenes,5,uW-I9SFuU1A,0.5693
MiniLM,cosine,English pronunciation practice with movie dialogue,1,pKoH9GkEKxQ,0.6282
MiniLM,cosine,English pronunciation practice with movie dialogue,2,PL7niJMDu5w,0.6009
MiniLM,cosine,English pronunciation practice with movie dialogue,3,tdn81jlykww,0.5935
MiniLM,cosine,English pronunciation practice with movie dialogue,4,Xmgohhgb3pA,0.5918
MiniLM,cosine,English pronunciation practice with movie dialogue,5,fRseMUZ2NOM,0.589
MiniLM,cosine,Best TV series to learn English fast,1,7Ck3q5GaF5M,0.6609
MiniLM,cosine,Best TV series to learn English fast,2,JteHl9PQEIU,0.6494
MiniLM,cosine,Best TV series to learn English fast,3,fRseMUZ2NOM,0.6343
MiniLM,cosine,Best TV series to learn English fast,4,5i8s5XMzEoA,0.6175
MiniLM,cosine,Best TV series to learn English fast,5,4rX4sH8PMFc,0.6055
MiniLM,cosine,Best movies to learn English listening,1,V1mhdFpsYFA,0.7244
MiniLM,cosine,Best movies to learn English listening,2,pKoH9GkEKxQ,0.6031
MiniLM,cosine,Best movies to learn English listening,3,dcCn9a8TC_I,0.5872
MiniLM,cosine,Best movies to learn English listening,4,wdh9y2TkIns,0.5746
MiniLM,cosine,Best movies to learn English listening,5,67E6Dl6LaW4,0.5578
MiniLM,cosine,How to train your ear with English movies,1,pKoH9GkEKxQ,0.6278
MiniLM,cosine,How to train your ear with English movies,2,PL7niJMDu5w,0.6234
MiniLM,cosine,How to train your ear with English movies,3,fRseMUZ2NOM,0.6221
MiniLM,cosine,How to train your ear with English movies,4,Xmgohhgb3pA,0.6019
MiniLM,cosine,How to train your ear with English movies,5,67E6Dl6LaW4,0.5963
MiniLM,cosine,How to improve speaking using TV shows,1,Vcum4dzafOE,0.5659
MiniLM,cosine,How to improve speaking using TV shows,2,lhugwz26kUc,0.5499
MiniLM,cosine,How to improve speaking using TV shows,3,VZJaXyjs9RI,0.5324
MiniLM,cosine,How to improve speaking using TV shows,4,1puk6bREVMI,0.519
MiniLM,cosine,How to improve speaking using TV shows,5,KEWge76EHpA,0.5065
MiniLM,cosine,How to learn vocabulary from movie scenes,1,2uYHIfVOcvE,0.6562
MiniLM,cosine,How to learn vocabulary from movie scenes,2,Xmgohhgb3pA,0.6462
MiniLM,cosine,How to learn vocabulary from movie scenes,3,xQI0Kqu7x4o,0.6135
MiniLM,cosine,How to learn vocabulary from movie scenes,4,fRseMUZ2NOM,0.6129
MiniLM,cosine,How to learn vocabulary from movie scenes,5,tdn81jlykww,0.6052
MiniLM,cosine,How to sound like a native English speaker,1,xV-GT84xzE8,0.6001
MiniLM,cosine,How to sound like a native English speaker,2,LPA52CoT44w,0.5958
MiniLM,cosine,How to sound like a native English speaker,3,EccLlzUCF4w,0.5893
MiniLM,cosine,How to sound like a native English speaker,4,TzizA5rjM_Y,0.5752
MiniLM,cosine,How to sound like a native English speaker,5,srFHh4UiO7U,0.5676
MiniLM,cosine,English conversation practice with movie clips,1,pKoH9GkEKxQ,0.6695
MiniLM,cosine,English conversation practice with movie clips,2,Xmgohhgb3pA,0.6413
MiniLM,cosine,English conversation practice with movie clips,3,lhugwz26kUc,0.6325
MiniLM,cosine,English conversation practice with movie clips,4,tdn81jlykww,0.6215
MiniLM,cosine,English conversation practice with movie clips,5,3GCmsMI5iAY,0.6055
MiniLM,cosine,Advanced English listening with TV series,1,7Ck3q5GaF5M,0.5959
MiniLM,cosine,Advanced English listening with TV series,2,uW-I9SFuU1A,0.5913
MiniLM,cosine,Advanced English listening with TV series,3,VZJaXyjs9RI,0.5851
MiniLM,cosine,Advanced English listening with TV series,4,FZoeUNG_x4I,0.5841
MiniLM,cosine,Advanced English listening with TV series,5,4rX4sH8PMFc,0.568
MiniLM,cosine,Real life English conversation from movies,1,67E6Dl6LaW4,0.5935
MiniLM,cosine,Real life English conversation from movies,2,Xmgohhgb3pA,0.5811
MiniLM,cosine,Real life English conversation from movies,3,pKoH9GkEKxQ,0.5804
MiniLM,cosine,Real life English conversation from movies,4,tdn81jlykww,0.5745
MiniLM,cosine,Real life English conversation from movies,5,mNCS4_wqaPY,0.5683
MiniLM,cosine,English fluency practice with TV series scenes,1,lhugwz26kUc,0.6364
MiniLM,cosine,English fluency practice with TV series scenes,2,7Ck3q5GaF5M,0.6222
MiniLM,cosine,English fluency practice with TV series scenes,3,RQuL3lsuarQ,0.6128
MiniLM,cosine,English fluency practice with TV series scenes,4,tdn81jlykww,0.5989
MiniLM,cosine,English fluency practice with TV series scenes,5,mxG8Ls1SQz8,0.5881
MiniLM,dot,Learn English with The Devil Wears Prada scene,1,aRbaIHNttv4,0.6139
MiniLM,dot,Learn English with The Devil Wears Prada scene,2,OuTtIzGhUDY,0.5923
MiniLM,dot,Learn English with The Devil Wears Prada scene,3,3GCmsMI5iAY,0.5296
MiniLM,dot,Learn English with The Devil Wears Prada scene,4,QaP6nhNyHb0,0.5122
MiniLM,dot,Learn English with The Devil Wears Prada scene,5,pKoH9GkEKxQ,0.5085
MiniLM,dot,Learn English with SpongeBob SquarePants dialogue,1,JxWEAP0aAJQ,0.7447
MiniLM,dot,Learn English with SpongeBob SquarePants dialogue,2,NDhPifXoBYI,0.6435
MiniLM,dot,Learn English with SpongeBob SquarePants dialogue,3,FZXyYuiyq2I,0.536
MiniLM,dot,Learn English with SpongeBob SquarePants dialogue,4,2MlWEVKMD_M,0.5342
MiniLM,dot,Learn English with SpongeBob SquarePants dialogue,5,Sev_UnaqWmM,0.531
MiniLM,dot,Learn English with The Simpsons episode conversation,1,apI6j_LQYAA,0.678
MiniLM,dot,Learn English with The Simpsons episode conversation,2,RQuL3lsuarQ,0.5653
MiniLM,dot,Learn English with The Simpsons episode conversation,3,wqOlUOkiFbs,0.5477
MiniLM,dot,Learn English with The Simpsons episode conversation,4,fQwqes1cQ8E,0.5469
MiniLM,dot,Learn English with The Simpsons episode conversation,5,2li3fhbUnXI,0.5388
MiniLM,dot,Learn English with Peaky Blinders speaking style,1,uW-I9SFuU1A,0.6481
MiniLM,dot,Learn English with Peaky Blinders speaking style,2,2li3fhbUnXI,0.6397
MiniLM,dot,Learn English with Peaky Blinders speaking style,3,xV-GT84xzE8,0.5708
MiniLM,dot,Learn English with Peaky Blinders speaking style,4,RHOGowO5i2A,0.563
MiniLM,dot,Learn English with Peaky Blinders speaking style,5,EccLlzUCF4w,0.5587
