Model,Metric,Query,Rank,Video,Score
MiniLM,cosine,What is a switch statement in C,2,Bx9b12FCF5o,0.47170889377593994
MiniLM,cosine,What is a switch statement in C,3,N1twTeNMdOE,0.44920116662979126
MiniLM,cosine,What is a switch statement in C,4,z2fcWdoph4U,0.42332687973976135
MiniLM,cosine,What is a switch statement in C,5,Z5smVeUVNFU,0.40013444423675537
MiniLM,cosine,What is Java multithreading,1,taI7G6U29L8,0.6306089758872986
MiniLM,cosine,What is Java multithreading,2,QEF62Fm81h4,0.48409411311149597
MiniLM,cosine,What is Java multithreading,3,YOhrIov7PZA,0.43843361735343933
MiniLM,cosine,What is Java multithreading,4,nhnAx79gxCM,0.4200134873390198
MiniLM,cosine,What is Java multithreading,5,OjrR_C_UPjc,0.41222143173217773
MiniLM,cosine,What are Java anonymous classes,1,P_iOnmdww8E,0.6931012868881226
MiniLM,cosine,What are Java anonymous classes,2,DYbi93vuSaU,0.4694230258464813
MiniLM,cosine,What are Java anonymous classes,3,OjrR_C_UPjc,0.41212642192840576
MiniLM,cosine,What are Java anonymous classes,4,Kmgo00avvEw,0.4029729962348938
MiniLM,cosine,What are Java anonymous classes,5,taI7G6U29L8,0.4005037546157837
MiniLM,cosine,How to write files in Java,1,Pg0aoSbrqOE,0.7724135518074036
MiniLM,cosine,How to write files in Java,2,A6sA9KItwpY,0.4842831492424011
MiniLM,cosine,How to write files in Java,3,bI6e6qjJ8JQ,0.43085330724716187
MiniLM,cosine,How to write files in Java,4,Hzg3kCHJcxI,0.409072607755661
MiniLM,cosine,How to write files in Java,5,v5p_SUfi710,0.4071958363056183
MiniLM,cosine,What is Java ArrayList,1,wsTSREgCE5E,0.6655762791633606
MiniLM,cosine,What is Java ArrayList,2,30MKAcoffIo,0.5767585039138794
MiniLM,cosine,What is Java ArrayList,3,Qf3Nczxm2AY,0.4840112030506134
MiniLM,cosine,What is Java ArrayList,4,nhIB2S6NiFA,0.4753045439720154
MiniLM,cosine,What is Java ArrayList,5,9dr2mHYYoug,0.46895718574523926
MiniLM,cosine,What are Java getters and setters,1,OjrR_C_UPjc,0.7156754732131958
MiniLM,cosine,What are Java getters and setters,2,8FmE_-QXg3Y,0.4714714288711548
MiniLM,cosine,What are Java getters and setters,3,GvbdMwfjB98,0.4461016058921814
MiniLM,cosine,What are Java getters and setters,4,EAxV_eoYrIg,0.4235134422779083
MiniLM,cosine,What are Java getters and setters,5,P_iOnmdww8E,0.4209654927253723
MiniLM,cosine,What is method overriding in Java,1,hx_DRanBRRM,0.5824883580207825
MiniLM,cosine,What is method overriding in Java,2,nhnAx79gxCM,0.5465921759605408
MiniLM,cosine,What is method overriding in Java,3,v5p_SUfi710,0.5131127238273621
MiniLM,cosine,What is method overriding in Java,4,P_iOnmdww8E,0.4323849678039551
MiniLM,cosine,What is method overriding in Java,5,LN45TyPWAAg,0.4220174551010132
MiniLM,cosine,What are constructors in Java,1,ZD7CB6wKg8A,0.6309690475463867
MiniLM,cosine,What are constructors in Java,2,LN45TyPWAAg,0.5892148017883301
MiniLM,cosine,What are constructors in Java,3,DYbi93vuSaU,0.5343601107597351
MiniLM,cosine,What are constructors in Java,4,nRJWltqX4UY,0.48429685831069946
MiniLM,cosine,What are constructors in Java,5,OjrR_C_UPjc,0.4829390347003937
MiniLM,cosine,What is object oriented programming in Java,1,DYbi93vuSaU,0.6380860209465027
MiniLM,cosine,What is object oriented programming in Java,2,P_iOnmdww8E,0.4685159921646118
MiniLM,cosine,What is object oriented programming in Java,3,q2SGW2VgwAM,0.45446041226387024
MiniLM,cosine,What is object oriented programming in Java,4,Kmgo00avvEw,0.43864986300468445
MiniLM,cosine,What is object oriented programming in Java,5,v5p_SUfi710,0.42596253752708435
MiniLM,cosine,What are 2D arrays in Java,1,Qf3Nczxm2AY,0.7391847968101501
MiniLM,cosine,What are 2D arrays in Java,2,Vh4krbTnTAA,0.5963812470436096
MiniLM,cosine,What are 2D arrays in Java,3,wsTSREgCE5E,0.5811396241188049
MiniLM,cosine,What are 2D arrays in Java,4,nhIB2S6NiFA,0.5559521913528442
MiniLM,cosine,What are 2D arrays in Java,5,9dr2mHYYoug,0.4931691586971283
MiniLM,cosine,What is Python programming,1,XKHEtdqhLK8,0.6360258460044861
MiniLM,cosine,What is Python programming,2,8KCuHHeC_M0,0.6124517917633057
MiniLM,cosine,What is Python programming,3,vg7Hwd9TANY,0.5225747227668762
MiniLM,cosine,What is Python programming,4,8A0E1dSyjFM,0.5059399008750916
MiniLM,cosine,What is Python programming,5,q2SGW2VgwAM,0.4598454236984253
MiniLM,cosine,What are Python projects for beginners,1,XKHEtdqhLK8,0.6340824365615845
MiniLM,cosine,What are Python projects for beginners,2,8KCuHHeC_M0,0.6163672804832458
MiniLM,cosine,What are Python projects for beginners,3,q2SGW2VgwAM,0.44769442081451416
MiniLM,cosine,What are Python projects for beginners,4,Uvqmv3PGiXM,0.4380326569080353
MiniLM,cosine,What are Python projects for beginners,5,1XE-_s4ZBT8,0.43165677785873413
MiniLM,cosine,How to build a weather app in Python,1,Q4377DH5Jso,0.6894555687904358
MiniLM,cosine,How to build a weather app in Python,2,VaDUGPMjzOM,0.5312438607215881
MiniLM,cosine,How to build a weather app in Python,3,8KCuHHeC_M0,0.4289175570011139
MiniLM,cosine,How to build a weather app in Python,4,XKHEtdqhLK8,0.4256160259246826
MiniLM,cosine,How to build a weather app in Python,5,Uvqmv3PGiXM,0.390377402305603
MiniLM,cosine,What is React JS,1,CgkZ7MvWUAA,0.7302543520927429
MiniLM,cosine,What is React JS,2,9wiWzu_tRB0,0.5138120651245117
MiniLM,cosine,What is React JS,3,AiQ-V_0qvRI,0.46761655807495117
MiniLM,cosine,What is React JS,4,FpNfvbNYPsg,0.4510951340198517
MiniLM,cosine,What is React JS,5,Y62mbztjmus,0.40889179706573486
MiniLM,cosine,What is async await in JavaScript,1,9j1dZwFEJ-c,0.6781171560287476
MiniLM,cosine,What is async await in JavaScript,2,Coyy79wRz_s,0.5953158140182495
MiniLM,cosine,What is async await in JavaScript,3,NOzi4wBHn0o,0.5399193167686462
MiniLM,cosine,What is async await in JavaScript,4,TDUz9QcGPoE,0.28530338406562805
MiniLM,cosine,What is async await in JavaScript,5,NO5kUNxGIu0,0.2680017054080963
MiniLM,dot,What are NumPy data types,1,fPopFeqw5sk,0.723631739616394
MiniLM,dot,What are NumPy data types,2,81i_uSX9Vic,0.5148764848709106
MiniLM,dot,What are NumPy data types,3,6WaBryk4fkE,0.4966842234134674
MiniLM,dot,What are NumPy data types,4,Vh4krbTnTAA,0.292813777923584
MiniLM,dot,What are NumPy data types,5,w6hL_dszMxk,0.281425803899765
MiniLM,dot,What are important NumPy functions,1,fPopFeqw5sk,0.6063091158866882
MiniLM,dot,What are important NumPy functions,2,81i_uSX9Vic,0.5974096059799194
MiniLM,dot,What are important NumPy functions,3,6WaBryk4fkE,0.4681178033351898
MiniLM,dot,What are important NumPy functions,4,IljPHDyBRog,0.3805887997150421
MiniLM,dot,What are important NumPy functions,5,4wGuB3oAKc4,0.37526553869247437
MiniLM,dot,What are Python iterators,1,k0D3MQwLn7A,0.5994930863380432
MiniLM,dot,What are Python iterators,2,ZBlxaXMN_hU,0.4685949385166168
MiniLM,dot,What are Python iterators,3,KWgYha0clzw,0.44629934430122375
MiniLM,dot,What are Python iterators,4,gOMW_n2-2Mw,0.40584293007850647
MiniLM,dot,What are Python iterators,5,t35B5HjPm9Q,0.39540600776672363
MiniLM,dot,What are Python generators,1,ZBlxaXMN_hU,0.6285498738288879
MiniLM,dot,What are Python generators,2,piJc18hcH0Y,0.5043777823448181
MiniLM,dot,What are Python generators,3,x-Ag2_bJ40Y,0.42499327659606934
MiniLM,dot,What are Python generators,4,XKHEtdqhLK8,0.4151463210582733
MiniLM,dot,What are Python generators,5,8KCuHHeC_M0,0.413606196641922
MiniLM,dot,What is Matplotlib in Python,1,c9vhHUGdav0,0.5651108622550964
MiniLM,dot,What is Matplotlib in Python,2,hunq_UOdmoo,0.5623854398727417
MiniLM,dot,What is Matplotlib in Python,3,fPopFeqw5sk,0.35767126083374023
MiniLM,dot,What is Matplotlib in Python,4,8A0E1dSyjFM,0.32961979508399963
MiniLM,dot,What is Matplotlib in Python,5,6WaBryk4fkE,0.32745081186294556
MiniLM,dot,How to customize Matplotlib plots,1,hunq_UOdmoo,0.6471296548843384
MiniLM,dot,How to customize Matplotlib plots,2,c9vhHUGdav0,0.5817598104476929
MiniLM,dot,How to customize Matplotlib plots,3,l7IMBy4_nhA,0.27506041526794434
MiniLM,dot,How to customize Matplotlib plots,4,LI8KQ3pjQug,0.2483113557100296
MiniLM,dot,How to customize Matplotlib plots,5,fPopFeqw5sk,0.24245980381965637
MiniLM,dot,What is a Pandas DataFrame,1,OUnnuKHbmbU,0.4470711052417755
MiniLM,dot,What is a Pandas DataFrame,2,c9vhHUGdav0,0.3012537956237793
MiniLM,dot,What is a Pandas DataFrame,3,fPopFeqw5sk,0.27485063672065735
MiniLM,dot,What is a Pandas DataFrame,4,6WaBryk4fkE,0.2661190927028656
MiniLM,dot,What is a Pandas DataFrame,5,81i_uSX9Vic,0.24404998123645782
MiniLM,dot,What is NumPy slicing,1,6WaBryk4fkE,0.6094231009483337
MiniLM,dot,What is NumPy slicing,2,81i_uSX9Vic,0.5144146680831909
MiniLM,dot,What is NumPy slicing,3,fPopFeqw5sk,0.4919646978378296
MiniLM,dot,What is NumPy slicing,4,wGlnsJFnGAI,0.44746872782707214
MiniLM,dot,What is NumPy slicing,5,ZBlxaXMN_hU,0.36447182297706604
MiniLM,dot,How to convert decimal to hexadecimal,1,aMME_rYkoOU,0.6387220621109009
MiniLM,dot,How to convert decimal to hexadecimal,2,mjiHc965UME,0.6263927221298218
MiniLM,dot,How to convert decimal to hexadecimal,3,HOMu48bTzz8,0.3962423801422119
MiniLM,dot,How to convert decimal to hexadecimal,4,J6qXny_UAK4,0.36054444313049316
MiniLM,dot,How to convert decimal to hexadecimal,5,fy5QsDJmctQ,0.3488810062408447
MiniLM,dot,What is the binary number system,1,tg5Wv9Ba1lI,0.631912112236023
MiniLM,dot,What is the binary number system,2,J6qXny_UAK4,0.5972195267677307
MiniLM,dot,What is the binary number system,3,Gt2yBZAhsGM,0.4343128502368927
MiniLM,dot,What is the binary number system,4,aMME_rYkoOU,0.38596463203430176
MiniLM,dot,What is the binary number system,5,9E3I1URu6fc,0.3527930676937103
MiniLM,dot,What are arrays in C programming,1,6Hk2aE_SRzY,0.7576726675033569
MiniLM,dot,What are arrays in C programming,2,y4siEcxgOpM,0.6456970572471619
MiniLM,dot,What are arrays in C programming,3,Vh4krbTnTAA,0.6090165376663208
MiniLM,dot,What are arrays in C programming,4,shLeCvDQYp4,0.568544328212738
MiniLM,dot,What are arrays in C programming,5,qLVrwCvVPGo,0.5653607845306396
MiniLM,dot,What is dynamic memory allocation in C,1,fc19HhHKtrA,0.604087769985199
MiniLM,dot,What is dynamic memory allocation in C,2,rUXjvybSPWc,0.5881041288375854
MiniLM,dot,What is dynamic memory allocation in C,3,aIQk1O08zpg,0.5250781774520874
MiniLM,dot,What is dynamic memory allocation in C,4,DplxIq0mc_Y,0.47984448075294495
MiniLM,dot,What is dynamic memory allocation in C,5,qLVrwCvVPGo,0.41205665469169617
MiniLM,dot,How to read files in C,1,eIlcl-mt3tg,0.740998387336731
MiniLM,dot,How to read files in C,2,Hzg3kCHJcxI,0.5943507552146912
MiniLM,dot,How to read files in C,3,6Hk2aE_SRzY,0.44260141253471375
MiniLM,dot,How to read files in C,4,DplxIq0mc_Y,0.4075978696346283
MiniLM,dot,How to read files in C,5,rUXjvybSPWc,0.3949756920337677
MiniLM,dot,What are for loops in C,1,zdAggA1q0eo,0.7013123631477356
MiniLM,dot,What are for loops in C,2,b4DPj0XAfSg,0.5904313921928406
MiniLM,dot,What are for loops in C,3,6Hk2aE_SRzY,0.5854295492172241
MiniLM,dot,What are for loops in C,4,shLeCvDQYp4,0.5670894980430603
MiniLM,dot,What are for loops in C,5,Rn16ugyorX0,0.5518919229507446
MiniLM,dot,What are function prototypes in C,1,NEj2H7SoTzQ,0.6222971081733704
MiniLM,dot,What are function prototypes in C,2,Z5smVeUVNFU,0.5508697032928467
MiniLM,dot,What are function prototypes in C,3,6Hk2aE_SRzY,0.4054712951183319
MiniLM,dot,What are function prototypes in C,4,vg7Hwd9TANY,0.3900158405303955
MiniLM,dot,What are function prototypes in C,5,rUXjvybSPWc,0.3821607232093811
MiniLM,dot,What is a switch statement in C,1,NtlSzRWhaOc,0.6414303779602051
MiniLM,dot,What is a switch statement in C,2,Bx9b12FCF5o,0.4717087745666504
MiniLM,dot,What is a switch statement in C,3,N1twTeNMdOE,0.4492011070251465
MiniLM,dot,What is a switch statement in C,4,z2fcWdoph4U,0.4233268201351166
MiniLM,dot,What is a switch statement in C,5,Z5smVeUVNFU,0.4001343846321106
MiniLM,dot,What is Java multithreading,1,taI7G6U29L8,0.6306089758872986
MiniLM,dot,What is Java multithreading,2,QEF62Fm81h4,0.4840940535068512
MiniLM,dot,What is Java multithreading,3,YOhrIov7PZA,0.43843361735343933
MiniLM,dot,What is Java multithreading,4,nhnAx79gxCM,0.4200134873390198
MiniLM,dot,What is Java multithreading,5,OjrR_C_UPjc,0.4122214913368225
MiniLM,dot,What are Java anonymous classes,1,P_iOnmdww8E,0.6931012868881226
MiniLM,dot,What are Java anonymous classes,2,DYbi93vuSaU,0.46942296624183655
MiniLM,dot,What are Java anonymous classes,3,OjrR_C_UPjc,0.412126362323761
MiniLM,dot,What are Java anonymous classes,4,Kmgo00avvEw,0.4029729664325714
MiniLM,dot,What are Java anonymous classes,5,taI7G6U29L8,0.4005037546157837
MiniLM,dot,How to write files in Java,1,Pg0aoSbrqOE,0.7724135518074036
MiniLM,dot,How to write files in Java,2,A6sA9KItwpY,0.48428311944007874
MiniLM,dot,How to write files in Java,3,bI6e6qjJ8JQ,0.43085330724716187
MiniLM,dot,How to write files in Java,4,Hzg3kCHJcxI,0.4090726375579834
MiniLM,dot,How to write files in Java,5,v5p_SUfi710,0.4071958065032959
MiniLM,dot,What is Java ArrayList,1,wsTSREgCE5E,0.6655762791633606
MiniLM,dot,What is Java ArrayList,2,30MKAcoffIo,0.5767583847045898
MiniLM,dot,What is Java ArrayList,3,Qf3Nczxm2AY,0.48401111364364624
MiniLM,dot,What is Java ArrayList,4,nhIB2S6NiFA,0.4753044545650482
MiniLM,dot,What is Java ArrayList,5,9dr2mHYYoug,0.46895715594291687
MiniLM,dot,What are Java getters and setters,1,OjrR_C_UPjc,0.715675413608551
MiniLM,dot,What are Java getters and setters,2,8FmE_-QXg3Y,0.4714713394641876
MiniLM,dot,What are Java getters and setters,3,GvbdMwfjB98,0.4461015462875366
MiniLM,dot,What are Java getters and setters,4,EAxV_eoYrIg,0.42351341247558594
MiniLM,dot,What are Java getters and setters,5,P_iOnmdww8E,0.4209654629230499
MiniLM,dot,What is method overriding in Java,1,hx_DRanBRRM,0.5824883580207825
MiniLM,dot,What is method overriding in Java,2,nhnAx79gxCM,0.5465922355651855
MiniLM,dot,What is method overriding in Java,3,v5p_SUfi710,0.5131128430366516
MiniLM,dot,What is method overriding in Java,4,P_iOnmdww8E,0.43238505721092224
MiniLM,dot,What is method overriding in Java,5,LN45TyPWAAg,0.42201757431030273
MiniLM,dot,What are constructors in Java,1,ZD7CB6wKg8A,0.6309689283370972
MiniLM,dot,What are constructors in Java,2,LN45TyPWAAg,0.5892146825790405
MiniLM,dot,What are constructors in Java,3,DYbi93vuSaU,0.5343599915504456
MiniLM,dot,What are constructors in Java,4,nRJWltqX4UY,0.4842967987060547
MiniLM,dot,What are constructors in Java,5,OjrR_C_UPjc,0.4829389452934265
MiniLM,dot,What is object oriented programming in Java,1,DYbi93vuSaU,0.6380860209465027
MiniLM,dot,What is object oriented programming in Java,2,P_iOnmdww8E,0.4685159921646118
MiniLM,dot,What is object oriented programming in Java,3,q2SGW2VgwAM,0.45446041226387024
MiniLM,dot,What is object oriented programming in Java,4,Kmgo00avvEw,0.43864986300468445
MiniLM,dot,What is object oriented programming in Java,5,v5p_SUfi710,0.42596253752708435
MiniLM,dot,What are 2D arrays in Java,1,Qf3Nczxm2AY,0.7391847968101501
MiniLM,dot,What are 2D arrays in Java,2,Vh4krbTnTAA,0.5963812470436096
MiniLM,dot,What are 2D arrays in Java,3,wsTSREgCE5E,0.5811396241188049
MiniLM,dot,What are 2D arrays in Java,4,nhIB2S6NiFA,0.5559521317481995
MiniLM,dot,What are 2D arrays in Java,5,9dr2mHYYoug,0.4931691586971283
MiniLM,dot,What is Python programming,1,XKHEtdqhLK8,0.6360258460044861
MiniLM,dot,What is Python programming,2,8KCuHHeC_M0,0.6124517917633057
MiniLM,dot,What is Python programming,3,vg7Hwd9TANY,0.5225747227668762
MiniLM,dot,What is Python programming,4,8A0E1dSyjFM,0.5059398412704468
MiniLM,dot,What is Python programming,5,q2SGW2VgwAM,0.4598454236984253
MiniLM,dot,What are Python projects for beginners,1,XKHEtdqhLK8,0.6340824365615845
MiniLM,dot,What are Python projects for beginners,2,8KCuHHeC_M0,0.6163672804832458
MiniLM,dot,What are Python projects for beginners,3,q2SGW2VgwAM,0.44769442081451416
MiniLM,dot,What are Python projects for beginners,4,Uvqmv3PGiXM,0.4380326569080353
MiniLM,dot,What are Python projects for beginners,5,1XE-_s4ZBT8,0.43165677785873413
MiniLM,dot,How to build a weather app in Python,1,Q4377DH5Jso,0.6894555687904358
MiniLM,dot,How to build a weather app in Python,2,VaDUGPMjzOM,0.5312438607215881
MiniLM,dot,How to build a weather app in Python,3,8KCuHHeC_M0,0.4289175570011139
MiniLM,dot,How to build a weather app in Python,4,XKHEtdqhLK8,0.4256160259246826
MiniLM,dot,How to build a weather app in Python,5,Uvqmv3PGiXM,0.390377402305603
MiniLM,dot,What is React JS,1,CgkZ7MvWUAA,0.7302542924880981
MiniLM,dot,What is React JS,2,9wiWzu_tRB0,0.5138120651245117
MiniLM,dot,What is React JS,3,AiQ-V_0qvRI,0.46761655807495117
MiniLM,dot,What is React JS,4,FpNfvbNYPsg,0.4510951340198517
MiniLM,dot,What is React JS,5,Y62mbztjmus,0.4088917374610901
MiniLM,dot,What is async await in JavaScript,1,9j1dZwFEJ-c,0.678117036819458
MiniLM,dot,What is async await in JavaScript,2,Coyy79wRz_s,0.5953157544136047
MiniLM,dot,What is async await in JavaScript,3,NOzi4wBHn0o,0.5399193167686462
MiniLM,dot,What is async await in JavaScript,4,TDUz9QcGPoE,0.28530338406562805
MiniLM,dot,What is async await in JavaScript,5,NO5kUNxGIu0,0.268001526594162
MiniLM,euclidean,What are NumPy data types,1,fPopFeqw5sk,0.7434629425019896
MiniLM,euclidean,What are NumPy data types,2,81i_uSX9Vic,0.98501141804154
MiniLM,euclidean,What are NumPy data types,3,6WaBryk4fkE,1.0033103227134723
MiniLM,euclidean,What are NumPy data types,4,Vh4krbTnTAA,1.1892739640368808
MiniLM,euclidean,What are NumPy data types,5,w6hL_dszMxk,1.1988112310213523
MiniLM,euclidean,What are important NumPy functions,1,fPopFeqw5sk,0.8873453504838026
MiniLM,euclidean,What are important NumPy functions,2,81i_uSX9Vic,0.8973190045133836
MiniLM,euclidean,What are important NumPy functions,3,6WaBryk4fkE,1.0313892749968898
MiniLM,euclidean,What are important NumPy functions,4,IljPHDyBRog,1.113023856623355
MiniLM,euclidean,What are important NumPy functions,5,4wGuB3oAKc4,1.1177963565548164
MiniLM,euclidean,What are Python iterators,1,k0D3MQwLn7A,0.8949935341294541
MiniLM,euclidean,What are Python iterators,2,ZBlxaXMN_hU,1.0309268986662221
MiniLM,euclidean,What are Python iterators,3,KWgYha0clzw,1.0523314124319874
MiniLM,euclidean,What are Python iterators,4,gOMW_n2-2Mw,1.090098098486351
MiniLM,euclidean,What are Python iterators,5,t35B5HjPm9Q,1.0996307666694545
MiniLM,euclidean,What are Python generators,1,ZBlxaXMN_hU,0.8619169085493694
MiniLM,euclidean,What are Python generators,2,piJc18hcH0Y,0.9956125301435496
MiniLM,euclidean,What are Python generators,3,x-Ag2_bJ40Y,1.0723868260130127
MiniLM,euclidean,What are Python generators,4,XKHEtdqhLK8,1.081529975137251
MiniLM,euclidean,What are Python generators,5,8KCuHHeC_M0,1.0829532290709545
MiniLM,euclidean,What is Matplotlib in Python,1,c9vhHUGdav0,0.9326187925961122
MiniLM,euclidean,What is Matplotlib in Python,2,hunq_UOdmoo,0.9355367060104738
MiniLM,euclidean,What is Matplotlib in Python,3,fPopFeqw5sk,1.1334272103783058
MiniLM,euclidean,What is Matplotlib in Python,4,8A0E1dSyjFM,1.1579120387347144
MiniLM,euclidean,What is Matplotlib in Python,5,6WaBryk4fkE,1.159783788053843
MiniLM,euclidean,How to customize Matplotlib plots,1,hunq_UOdmoo,0.8400832775239105
MiniLM,euclidean,How to customize Matplotlib plots,2,c9vhHUGdav0,0.9145930843052301
MiniLM,euclidean,How to customize Matplotlib plots,3,l7IMBy4_nhA,1.2041092462538432
MiniLM,euclidean,How to customize Matplotlib plots,4,LI8KQ3pjQug,1.2261228042387746
MiniLM,euclidean,How to customize Matplotlib plots,5,fPopFeqw5sk,1.230886142512596
