Query,Rank,Video,Score
Explain machine docker,5,ZYuu8sWUQww,0.41145867109298706
Explain amazon developer,1,XVfQD3lkn3g,0.5510339736938477
Explain amazon developer,2,tqjkePX0KGA,0.4494054913520813
Explain amazon developer,3,p5KoYRll_Bg,0.4415667951107025
Explain amazon developer,4,1cZovwWsWVU,0.441108763217926
Explain amazon developer,5,KS6ScOjB0Cg,0.4192968010902405
Explain jar file,1,0-BBs7q0HzI,0.5229588747024536
Explain jar file,2,xYv3tBvJavM,0.4150530695915222
Explain jar file,3,zGSX5AqfKvU,0.3752196133136749
Explain jar file,4,7qUVUFE4_Sc,0.363840788602829
Explain jar file,5,-QHsVHziSZQ,0.3611817955970764
Explain text learn,1,jRfIqQu_mcY,0.4939188063144684
Explain text learn,2,DZLAJ67OP9s,0.45636680722236633
Explain text learn,3,8RWfE9eDWXI,0.44547542929649353
Explain text learn,4,XwYY0lCGWW8,0.4288574457168579
Explain text learn,5,A7lWqZ9_XpI,0.3946983218193054
How does content management work?,1,hTpEDdJDoI0,0.4944370687007904
How does content management work?,2,MPFeE4_veXE,0.46903714537620544
How does content management work?,3,7NyEmb13Ej0,0.4502772092819214
How does content management work?,4,Gp5Et_nc_Kw,0.43023884296417236
How does content management work?,5,Q9xD4J3tezw,0.42688363790512085
What is elastic search?,1,kqbPw03jw90,0.6351016163825989
What is elastic search?,2,6k6-OeWZTYY,0.6166696548461914
What is elastic search?,3,cdm_9YLCNlU,0.5301213264465332
What is elastic search?,4,HWRcoT4Lr5E,0.4054599106311798
What is elastic search?,5,AvcTpQri-5M,0.39795929193496704
How does agents write work?,1,GQ6piqfwr5c,0.5550363063812256
How does agents write work?,2,Jj1-zb38Yfw,0.5335147380828857
How does agents write work?,3,voSYs_XDsog,0.5326431393623352
How does agents write work?,4,9UNPwGRNo_k,0.4778003990650177
How does agents write work?,5,MWv33xofJ40,0.45661139488220215
Explain urea clients,1,9yAFa60v7tE,0.48556768894195557
Explain urea clients,2,JMXh_6N9PAk,0.48547476530075073
Explain urea clients,3,KF-3jtGH6Yk,0.37794017791748047
Explain urea clients,4,XH5QBurZ9OU,0.36978021264076233
Explain urea clients,5,z29JlsK6nKc,0.366982102394104
How does data elastic work?,1,cdm_9YLCNlU,0.519053041934967
How does data elastic work?,2,kqbPw03jw90,0.5156998634338379
How does data elastic work?,3,6k6-OeWZTYY,0.5145174264907837
How does data elastic work?,4,Q8qW8Dygmbs,0.508216917514801
How does data elastic work?,5,KmOOoE3XO_o,0.4887469708919525
How does http headers work?,1,fFHl7psnvz0,0.645514965057373
How does http headers work?,2,4bQeGUzHpOE,0.5344935655593872
How does http headers work?,3,G0_e02DdH7I,0.4568416178226471
How does http headers work?,4,HV5u-HjEFvY,0.45507919788360596
How does http headers work?,5,ZOoMX7uinKw,0.44146066904067993
Explain heartbeats design,1,2LCyDvx7iIE,0.6681941747665405
Explain heartbeats design,2,me_FwTx3ZEw,0.4208120107650757
Explain heartbeats design,3,4SWwWIpi3E4,0.3503679931163788
Explain heartbeats design,4,Ge7M_03JNqw,0.34972646832466125
Explain heartbeats design,5,G0_e02DdH7I,0.3484456539154053
Explain load balancer,1,4SWwWIpi3E4,0.6535179615020752
Explain load balancer,2,dUO4ayAAnqQ,0.6414125561714172
Explain load balancer,3,06VI0JVZC04,0.6143375635147095
Explain load balancer,4,z29JlsK6nKc,0.6019132137298584
Explain load balancer,5,uG7_0Zi5oVk,0.6013209819793701
What is design patterns?,1,7qUVUFE4_Sc,0.7094919681549072
What is design patterns?,2,NP7RmrHn1Q0,0.6631538271903992
What is design patterns?,3,USLwIwyWVIM,0.5368582606315613
What is design patterns?,4,126ALse1rWA,0.45232653617858887
What is design patterns?,5,04xGE47faUY,0.37918564677238464
What is data centers?,1,6HjrkSoeN2I,0.6277046203613281
What is data centers?,2,IAbZJt7nY6E,0.44352954626083374
What is data centers?,3,7G4g6B78zxM,0.4433444142341614
What is data centers?,4,Gp_V4oEDrNo,0.4393719732761383
What is data centers?,5,Gp5Et_nc_Kw,0.416227787733078
What is stateless card?,1,Kf9qqv1kC0s,0.5648043155670166
What is stateless card?,2,jX33SSUwzAU,0.4358184337615967
What is stateless card?,3,gh0mpS5PG1A,0.4228982925415039
What is stateless card?,4,M87WMpG4G78,0.37473732233047485
What is stateless card?,5,QDiPjMWeVC0,0.3744220435619354
What is streaming service?,1,Ewf1A8UwXW0,0.5935755968093872
What is streaming service?,2,Ko1_bJ44958,0.5863714218139648
What is streaming service?,3,Ix4CLPCziQk,0.5585527420043945
What is streaming service?,4,2G02p2izBEY,0.541907012462616
What is streaming service?,5,62PxQP_jAxg,0.5390479564666748
What is microservices architecture?,1,E7kXoO9Z0NA,0.6414012908935547
What is microservices architecture?,2,EZctFC4daPw,0.6192687153816223
What is microservices architecture?,3,_iqNjvaUVsM,0.6189714670181274
What is microservices architecture?,4,ecuEkmFs5Vk,0.6179505586624146
What is microservices architecture?,5,Vn8xa6mUocA,0.604600191116333
What is data business?,1,IAbZJt7nY6E,0.6009863615036011
What is data business?,2,7G4g6B78zxM,0.4990226924419403
What is data business?,3,Gp_V4oEDrNo,0.4756351113319397
What is data business?,4,xmxJ4cS-niU,0.429487943649292
What is data business?,5,cY4pVLpjL3g,0.41190001368522644
What is testing agent?,1,p5hA8rpCRXw,0.5072389245033264
What is testing agent?,2,Jj1-zb38Yfw,0.44065380096435547
What is testing agent?,3,3XeKm1ChS70,0.43453484773635864
What is testing agent?,4,zZPad0WPSMQ,0.43261581659317017
What is testing agent?,5,R0VZUKST1Ek,0.42884689569473267
How does design patterns work?,1,7qUVUFE4_Sc,0.6998755931854248
How does design patterns work?,2,NP7RmrHn1Q0,0.6346766948699951
How does design patterns work?,3,USLwIwyWVIM,0.5620360374450684
How does design patterns work?,4,126ALse1rWA,0.41942697763442993
How does design patterns work?,5,04xGE47faUY,0.3980141282081604
What is etl tools?,1,KmOOoE3XO_o,0.577385663986206
What is etl tools?,2,kqbPw03jw90,0.33915209770202637
What is etl tools?,3,Gp_V4oEDrNo,0.2933911681175232
What is etl tools?,4,XVfQD3lkn3g,0.2912653684616089
What is etl tools?,5,6k6-OeWZTYY,0.28664618730545044
What is netflixx architecture?,1,2G02p2izBEY,0.6383562684059143
What is netflixx architecture?,2,Ix4CLPCziQk,0.6304057836532593
What is netflixx architecture?,3,wIDh8MlkSoA,0.6188421845436096
What is netflixx architecture?,4,kphfRALgT7k,0.6062554717063904
What is netflixx architecture?,5,62PxQP_jAxg,0.5784885883331299
What is deployment strategy?,1,RThb3koc5DM,0.6168044805526733
What is deployment strategy?,2,mWCId6kSpj0,0.5180580615997314
What is deployment strategy?,3,unhCmG4NrUA,0.5049368739128113
What is deployment strategy?,4,AZoIWCZo3_c,0.3842935264110565
What is deployment strategy?,5,H48JzcLQs1c,0.3779296278953552
What is cqrs command?,1,q07BGZBDo7g,0.7127748131752014
What is cqrs command?,2,13vkP6cVa4U,0.5729440450668335
What is cqrs command?,3,SvjdJoNPcHs,0.541118323802948
What is cqrs command?,4,s7uk69rMHFQ,0.4940892457962036
What is cqrs command?,5,ID-_ic1fLkY,0.3003329336643219
What is domain youtube?,1,6bGvO18yAH0,0.7341766953468323
What is domain youtube?,2,Lsd80uR9Shs,0.5845356583595276
What is domain youtube?,3,UpZWf1tH6K0,0.5506751537322998
What is domain youtube?,4,wwKCURWnjto,0.4832361936569214
What is domain youtube?,5,URI5GsOBznk,0.44203388690948486
What is mcp ai?,1,YypKPJ6pYMY,0.7106307148933411
What is mcp ai?,2,8PnVhLQTDoQ,0.6977107524871826
What is mcp ai?,3,PS9kw4W52Gs,0.6904691457748413
What is mcp ai?,4,MI796yMnOF0,0.6747255325317383
What is mcp ai?,5,if6OL6trunU,0.6708897948265076
How does git commit work?,1,E-CH3-VyVck,0.6282024383544922
How does git commit work?,2,HMoZ5cYzU4I,0.6220695972442627
How does git commit work?,3,k7ZGcJdi_kI,0.5779346227645874
How does git commit work?,4,QPVH19td8ME,0.5559384226799011
How does git commit work?,5,XZzFUjyxXYQ,0.5537765026092529
How does open ai work?,1,Jj1-zb38Yfw,0.5984095931053162
How does open ai work?,2,9QpAjiJ0kPk,0.5566938519477844
How does open ai work?,3,voSYs_XDsog,0.4968375563621521
How does open ai work?,4,MWv33xofJ40,0.4889717996120453
How does open ai work?,5,GQnEuz6hj5k,0.4880180358886719
How does retrieval llm work?,1,DZLAJ67OP9s,0.43818235397338867
How does retrieval llm work?,2,4KiiKQ9RVvA,0.420426607131958
How does retrieval llm work?,3,A7lWqZ9_XpI,0.38678139448165894
How does retrieval llm work?,4,jRfIqQu_mcY,0.3843836188316345
How does retrieval llm work?,5,OtccjevZ5uc,0.3567003607749939
What is password hashing?,1,TuNvdQUVkto,0.65715491771698
What is password hashing?,2,6Dq4Z8Nk1z8,0.4827522933483124
What is password hashing?,3,KuH55P6UgVc,0.4711011052131653
What is password hashing?,4,GT0En1dGntY,0.43998607993125916
What is password hashing?,5,cG4FPks53AU,0.33925697207450867
How does encoder work?,1,RUuhax5r1RA,0.5559425950050354
How does encoder work?,2,exP5T6IgQHs,0.48470187187194824
How does encoder work?,3,VUxXH4uo4AY,0.36382758617401123
How does encoder work?,4,oKzXV0-0qHQ,0.3056325316429138
How does encoder work?,5,IiQS7zeUTU8,0.30197232961654663
How does database service work?,1,q81-wDiJRN0,0.6295304298400879
How does database service work?,2,DKQLhy9bgdk,0.6068425178527832
How does database service work?,3,YrCjrJLON6g,0.5151687860488892
How does database service work?,4,o8J0Xfjwwe0,0.5101255178451538
How does database service work?,5,tGdwX-TFAA8,0.4515491724014282
Explain retry mechanism,1,_6yM3B4F4xE,0.6446319222450256
Explain retry mechanism,2,S3nq_Iq4eMI,0.5144927501678467
Explain retry mechanism,3,ZOoMX7uinKw,0.3595457375049591
Explain retry mechanism,4,tGdwX-TFAA8,0.3595030605792999
Explain retry mechanism,5,4SWwWIpi3E4,0.3246610760688782
Explain sql joints,1,cY4pVLpjL3g,0.6683899164199829
Explain sql joints,2,gRuI6HzyuPY,0.5329151749610901
Explain sql joints,3,7_JNpi-phTg,0.49028676748275757
Explain sql joints,4,wZgNO_ZIf40,0.48675572872161865
Explain sql joints,5,q07BGZBDo7g,0.42041757702827454
How does services architectural work?,1,o8J0Xfjwwe0,0.6133700609207153
How does services architectural work?,2,WS_u-_gnoVI,0.6077038049697876
How does services architectural work?,3,E7kXoO9Z0NA,0.6008541584014893
How does services architectural work?,4,_iqNjvaUVsM,0.5850934982299805
How does services architectural work?,5,LsHa1o9JN-k,0.5602585673332214
How does feature flags work?,1,vLcrN75Kj8A,0.6643831729888916
How does feature flags work?,2,USLwIwyWVIM,0.32786545157432556
How does feature flags work?,3,NlnIJKdetvE,0.31805211305618286
How does feature flags work?,4,7qUVUFE4_Sc,0.2863270044326782
How does feature flags work?,5,QPVH19td8ME,0.26437267661094666
How does load balancer work?,1,4SWwWIpi3E4,0.6510270833969116
How does load balancer work?,2,dUO4ayAAnqQ,0.6386694312095642
How does load balancer work?,3,z29JlsK6nKc,0.6065011620521545
How does load balancer work?,4,06VI0JVZC04,0.5959727764129639
How does load balancer work?,5,uG7_0Zi5oVk,0.5791499018669128
What is domain driven?,1,sVi4aDNIPWo,0.6420168876647949
What is domain driven?,2,eDpXY6KJiY8,0.5717763900756836
What is domain driven?,3,OJNh4byblYI,0.5581098794937134
What is domain driven?,4,8SPVfacnFvM,0.5301081538200378
What is domain driven?,5,zg7nJrDQZ5s,0.4021368622779846
What is monolithic microservices?,1,E7kXoO9Z0NA,0.6655851006507874
What is monolithic microservices?,2,9-n5oJG4XMY,0.657450795173645
What is monolithic microservices?,3,VQ97sacUT3g,0.579109251499176
What is monolithic microservices?,4,2G02p2izBEY,0.5646650791168213
What is monolithic microservices?,5,A0iVkruYVcg,0.5548511743545532
Explain clusters use,1,pjWhtRtaJiA,0.7012819647789001
Explain clusters use,2,Et-dfMyW3qc,0.5302298069000244
Explain clusters use,3,2b2jcfLMkfc,0.4655642509460449
Explain clusters use,4,yBY5GJtmhg0,0.44892793893814087
Explain clusters use,5,aei5tsd3L0s,0.42968428134918213
Explain understanding jwts,1,iB__rLXGsas,0.7011574506759644
Explain understanding jwts,2,0rcMDFU5P8w,0.6837915778160095
Explain understanding jwts,3,fBSodN6BL3I,0.4370296597480774
Explain understanding jwts,4,xJA8tP74KD0,0.408230185508728
Explain understanding jwts,5,G0_e02DdH7I,0.3824189007282257
What is serverless compute?,1,gbf-DIpFFoI,0.6782885789871216
What is serverless compute?,2,C-CcuV1oMQI,0.6301107406616211
What is serverless compute?,3,jX33SSUwzAU,0.4688752293586731
What is serverless compute?,4,gh0mpS5PG1A,0.39765405654907227
What is serverless compute?,5,6HjrkSoeN2I,0.38506534695625305
What is new microservice?,1,2G02p2izBEY,0.587679386138916
What is new microservice?,2,ecuEkmFs5Vk,0.5851668119430542
What is new microservice?,3,_iqNjvaUVsM,0.5570707321166992
What is new microservice?,4,9-n5oJG4XMY,0.5305923819541931
What is new microservice?,5,Ewf1A8UwXW0,0.5261483192443848
How does dom document work?,1,7NyEmb13Ej0,0.7846009135246277
How does dom document work?,2,MPFeE4_veXE,0.7000937461853027
How does dom document work?,3,m-0p2BFAZvI,0.3464016914367676
How does dom document work?,4,FruCVzHTzXE,0.312583327293396
How does dom document work?,5,UpZWf1tH6K0,0.29003214836120605
How does tls transport work?,1,uWmZZyaHFEY,0.6148393154144287
How does tls transport work?,2,wpzeqAm9Fyo,0.6016052961349487
How does tls transport work?,3,pOcHamIz7Ko,0.599260687828064
How does tls transport work?,4,3VbtQDFm8bM,0.5731085538864136
How does tls transport work?,5,s_r8GlYpcT4,0.5227682590484619
Explain understanding gpus,1,iQ9arr3TTMA,0.7092463970184326
Explain understanding gpus,2,vWKmH0BvqQo,0.6656711101531982
Explain understanding gpus,3,HJncmDD47kQ,0.5745658874511719
Explain understanding gpus,4,JmVOEkskft4,0.3756934702396393
Explain understanding gpus,5,8afhcpiMh24,0.3622836172580719
How does physical topology work?,1,QxfYZpE9ch8,0.7377920746803284
How does physical topology work?,2,4znRDbg0SYA,0.6161283254623413
How does physical topology work?,3,yBY5GJtmhg0,0.4820682406425476
How does physical topology work?,4,j-VASLQbDik,0.4155500829219818
How does physical topology work?,5,80_RUmj-4B0,0.29410433769226074
Explain browser dns,1,6bGvO18yAH0,0.6939928531646729
Explain browser dns,2,Lsd80uR9Shs,0.6659843325614929
Explain browser dns,3,UpZWf1tH6K0,0.5396249294281006
Explain browser dns,4,PwNJXUdMkVY,0.5313544869422913
Explain browser dns,5,LN-FyvIgwKs,0.4422455430030823
Explain probabilities,1,znuZRn94SQk,0.6066893935203552
Explain probabilities,2,Rhy6IDW4j3k,0.46111226081848145
Explain probabilities,3,LM3rwbVPyNc,0.33804985880851746
Explain probabilities,4,hz1qw-WbXk8,0.2852608561515808
Explain probabilities,5,67Ekk-rM5dE,0.2744261622428894
What is workflows ai?,1,SYHqSAWQ4NY,0.557689905166626
What is workflows ai?,2,Jj1-zb38Yfw,0.530419647693634
What is workflows ai?,3,JYN6O5Gbxlc,0.5259593725204468
What is workflows ai?,4,MWv33xofJ40,0.5251078009605408
What is workflows ai?,5,9UNPwGRNo_k,0.5082315802574158
Explain payments world,1,OYn5Be1skCs,0.5871665477752686
Explain payments world,2,7MXV7RfNtv0,0.5712173581123352
Explain payments world,3,hWQCiO04CXk,0.5673339366912842
Explain payments world,4,Vn8xa6mUocA,0.5224175453186035
Explain payments world,5,KLiYkgaUCM8,0.4865109324455261
What is kubernetes api?,1,2b2jcfLMkfc,0.6224832534790039
What is kubernetes api?,2,UnOpAr5jJbI,0.556433379650116
What is kubernetes api?,3,jp_ONdr6_sQ,0.5012857913970947
What is kubernetes api?,4,0YCpmGZtTPs,0.4960315227508545
What is kubernetes api?,5,Et-dfMyW3qc,0.484005331993103
How does secure headers work?,1,4bQeGUzHpOE,0.6212113499641418
How does secure headers work?,2,fFHl7psnvz0,0.4835706055164337
How does secure headers work?,3,YO9LnWD0Rck,0.46264493465423584
How does secure headers work?,4,K6bkjs1q4cM,0.4205954372882843
How does secure headers work?,5,BQwKZ6zfyk0,0.38813894987106323
Explain tls certificate,1,pOcHamIz7Ko,0.6821881532669067
Explain tls certificate,2,3VbtQDFm8bM,0.6462178826332092
Explain tls certificate,3,uWmZZyaHFEY,0.6112348437309265
Explain tls certificate,4,wpzeqAm9Fyo,0.5893372297286987
Explain tls certificate,5,9AhzLGmp9V4,0.5387449860572815
Explain database app,1,cY4pVLpjL3g,0.54761803150177
Explain database app,2,0d6tBMxFCt4,0.4990355372428894
Explain database app,3,fGmIjstlFMU,0.476547509431839
Explain database app,4,TPYBYSyDRH4,0.46462076902389526
Explain database app,5,Q9xD4J3tezw,0.46082085371017456
Explain reverse proxy,1,scDqfwhXtx8,0.7590839862823486
Explain reverse proxy,2,1B1Hr-lM7jg,0.7227764129638672
Explain reverse proxy,3,2C-kLSYBfS4,0.6004126071929932
Explain reverse proxy,4,B5Il4OCjnn4,0.4722546339035034
Explain reverse proxy,5,iDJvRLQAL0I,0.42662614583969116
What is https api?,1,K6bkjs1q4cM,0.6019226908683777
What is https api?,2,YO9LnWD0Rck,0.5699880719184875
What is https api?,3,BQwKZ6zfyk0,0.4849304258823395
What is https api?,4,E6jgEtj-UjI,0.4812186360359192
What is https api?,5,s_r8GlYpcT4,0.47214409708976746
How does spring boot work?,1,xYv3tBvJavM,0.6696263551712036
How does spring boot work?,2,zGSX5AqfKvU,0.522369921207428
How does spring boot work?,3,GrYEX3NqPts,0.48454660177230835
How does spring boot work?,4,erD57pJxOw8,0.40793412923812866
How does spring boot work?,5,ZOoMX7uinKw,0.30693891644477844
How does traditional database work?,1,TPYBYSyDRH4,0.5508352518081665
How does traditional database work?,2,0d6tBMxFCt4,0.5456584692001343
How does traditional database work?,3,cY4pVLpjL3g,0.5282238125801086
How does traditional database work?,4,Q9xD4J3tezw,0.5142935514450073
How does traditional database work?,5,TuNvdQUVkto,0.5021019577980042
Explain mobile apps,1,t-tTh94NI78,0.4855743646621704
Explain mobile apps,2,oyYnRVQvxv4,0.4768385589122772
Explain mobile apps,3,Pmzrogq4W4I,0.4676123559474945
Explain mobile apps,4,DzHUtYQyHFs,0.4580855369567871
Explain mobile apps,5,HV5u-HjEFvY,0.39021313190460205
What is mcp clients?,1,8PnVhLQTDoQ,0.6694425940513611
What is mcp clients?,2,PS9kw4W52Gs,0.5555969476699829
What is mcp clients?,3,if6OL6trunU,0.5140693783760071
What is mcp clients?,4,MI796yMnOF0,0.5035806894302368
What is mcp clients?,5,YypKPJ6pYMY,0.5003857016563416
How does recommendation service work?,1,_JAN0cHiNHw,0.6135513782501221
How does recommendation service work?,2,9yAFa60v7tE,0.4361521303653717
How does recommendation service work?,3,aei5tsd3L0s,0.425180584192276
How does recommendation service work?,4,Ewf1A8UwXW0,0.42163968086242676
How does recommendation service work?,5,W8YLcfXNnZo,0.42011556029319763
What is ai agent?,1,Jj1-zb38Yfw,0.7479738593101501
What is ai agent?,2,MWv33xofJ40,0.7028326988220215
What is ai agent?,3,9UNPwGRNo_k,0.6631425619125366
What is ai agent?,4,SYHqSAWQ4NY,0.6127645969390869
What is ai agent?,5,voSYs_XDsog,0.6112900972366333
What is quantum computer?,1,LM3rwbVPyNc,0.6294538974761963
What is quantum computer?,2,iwRaNYa8yTw,0.3215597867965698
What is quantum computer?,3,UIXFYPzaFbY,0.3122255802154541
What is quantum computer?,4,JmVOEkskft4,0.3106621205806732
What is quantum computer?,5,2LCyDvx7iIE,0.30275630950927734
What is diagram visually?,1,80_RUmj-4B0,1.0749082565307617
What is diagram visually?,2,gRuI6HzyuPY,1.0967239141464233
What is diagram visually?,3,la0wPRCAiy0,1.1165738105773926
What is diagram visually?,4,QxfYZpE9ch8,1.1432384252548218
What is diagram visually?,5,67Ekk-rM5dE,1.1802358627319336
Explain performance dns,1,LN-FyvIgwKs,0.9085991978645325
Explain performance dns,2,Lsd80uR9Shs,0.9474781155586243
Explain performance dns,3,xv0Be4QfkH0,0.9504362940788269
Explain performance dns,4,bJ9NnLLMQ78,0.9872406721115112
Explain performance dns,5,UpZWf1tH6K0,1.0051568746566772
Explain benchmarks dragonfly,1,j1PkkSddZcE,0.7862105369567871
Explain benchmarks dragonfly,2,I6dpN0geIb4,1.1241413354873657
Explain benchmarks dragonfly,3,sKITdF9ZEqQ,1.1489789485931396
Explain benchmarks dragonfly,4,KRwpzG7l4a0,1.1575416326522827
Explain benchmarks dragonfly,5,NQoF0knFy7U,1.1766469478607178
How does processing stream work?,1,mG3xQb_-rV4,0.6359213590621948
How does processing stream work?,2,_acvJC3Smx4,0.880425751209259
How does processing stream work?,3,Gp5Et_nc_Kw,1.0242325067520142
How does processing stream work?,4,XYvQHjWJJTE,1.0394861698150635
How does processing stream work?,5,ZOoMX7uinKw,1.0414870977401733
How does sql injection work?,1,cG4FPks53AU,0.8121678233146667
How does sql injection work?,2,WUBWIVCJLHI,0.8292818069458008
How does sql injection work?,3,mTJpFiPQZho,0.9014556407928467
How does sql injection work?,4,ftMW4TtzDEk,0.9163012504577637
How does sql injection work?,5,tb-hlGa71sk,0.9174262881278992
What is architecture sidecar?,1,FMxUYhYDiys,0.9148910045623779
What is architecture sidecar?,2,sh2nwXJLDkE,0.9824733138084412
What is architecture sidecar?,3,z9wuLNJdiqQ,0.9937775135040283
What is architecture sidecar?,4,X5LxprTgMQQ,1.0547434091567993
What is architecture sidecar?,5,iDJvRLQAL0I,1.1020630598068237
What is apis harder?,1,qnXTTmPPiz0,0.9304251074790955
What is apis harder?,2,K6bkjs1q4cM,0.993137001991272
What is apis harder?,3,oyYnRVQvxv4,1.0202504396438599
What is apis harder?,4,KF-3jtGH6Yk,1.0432589054107666
What is apis harder?,5,pJ83mmqcvoQ,1.0619291067123413
How does advantages fusionaut work?,1,t3HvCLYnrRY,1.007284164428711
How does advantages fusionaut work?,2,3Lzubtz9SUY,1.1097062826156616
How does advantages fusionaut work?,3,9-n5oJG4XMY,1.148863673210144
How does advantages fusionaut work?,4,6DQzFUDkQB8,1.1553786993026733
How does advantages fusionaut work?,5,Pmzrogq4W4I,1.155481219291687
Explain legacy microservices,1,9-n5oJG4XMY,0.8490962386131287
Explain legacy microservices,2,DpuQ3-7e-rY,0.8530352115631104
Explain legacy microservices,3,_iqNjvaUVsM,0.8669010996818542
